content,times,title
"金秋送爽喜迎八方学子,丹桂飘香共筑美好明天,月,日,会计学院迎来了,级新同学,一股新鲜血液又将注入会计学院,为确保此次迎新工作得以顺利进行,我院进行了认真细致的部署,制定了详细的迎新计划,学长学姐们各司其职,工作人员热情主动,细致耐心地接待,使整个报道过程有序快捷,志愿者也行动起来,穿梭在校园的每个角落,热情地为新生们提行李,指路,作为学长学姐,在工作的同时也热心给新生们解疑答惑,介绍学校各方各面,学长学姐们热情周到的服务,温馨甜蜜的笑容使新同学们感受到了来自院领导,老师,以及学长学姐们的亲切关怀,学院领导高度重视迎新工作,为帮助学生和家长更好的了解学校安排,学院设计,印发了家校联系卡,将学院,辅导员,班主任的联系方式印在卡片上,确保家长能及时联系到老师,了解孩子在校的有关情况,另外学院为新生设计了,父母,对我说,和,大学,我想对你说,展板,家长新生们纷纷在上面留言,表达了对孩子们的殷切期望和自己对大学生活的无限期待,力争通过家长,学生,学校三者之间良好的互动,凝聚共识,打造促进学生全面发展的育人共同体,对于家校教育合力的形成,促进学生健康成长具有积极意义","8,Sep",会计学院2016迎新活动圆满结束
"近日,中华全国总工会印发,中华全国总工会关于表彰全国模范职工之家,全国模范职工小家,全国优秀工会工作者的决定,会计学院分工会喜获,全国模范职工小家,荣誉称号,一直以来,在学校党委,学校工会及学院党总支的正确领导下,会计学院广大教职工认真学习贯彻习近平新时代中国特色社会主义思想,增强,四个意识,坚定,四个自信,做到,两个维护,坚定不移听党话,跟党走,紧紧围绕学校中心工作,为学校和学院高质量发展作出了积极贡献,学院分工会积极落实学校决策部署,在加强职工政治引领,组织职工建功立业,维护职工合法权益,深化工会改革创新等方面积极作为,团结动员广大教职工努力创建奋进,民主,幸福的新时代职工之家,全国模范职工小家,荣誉的获得既是对学院分工会工作的肯定,更是对我们的激励,会计学院全体师生员工将继续勇于担当,锐意进取,积极作为,真抓实干,筑梦,十四五,为学校发展再立新功,献礼中国共产党百年华诞","8,May",山东女子学院会计学院喜获“全国模范职工小家”荣誉称号
"月,日,澳大利亚启思蒙学院国际部中国区域负责人,女士来会计学院访问,学院院长冯华,副院长王凤燕在博雅楼,室与澳方代表进行了亲切会谈,会谈中,双方就近一段时间以来,澳方授课,考试等方面的情况进行交流,随后,双方着重就合作项目的延期,教师培训,专本连读项目开展等问题交换了意见,初步达成一致,此次会谈,为推动中澳项目在本科层次开展合作奠定了基础","8,May",澳大利亚启思蒙学院代表来我院洽谈深入合作事宜
"年,月,日,寻找中国管理与信息化三好生,暨第八届,用友新道杯,全国大学生会计信息化技能大赛全国总决赛在济南举行,月,日,比赛成绩公布,我校选派的三支代表队取得了两个全国一等奖,本科组,一个全国二等奖,高职组,其中一支本科参赛队还获得了山东省第二名的优异成绩,此次大赛,由工业和信息化人才交流中心主办,用友新道科技有限公司承办,有来自全国高校的近千支队伍参加了比赛,比赛规模与竞争激烈程度空前,学院自接到参赛通知以来,领导高度重视,通过层层选拔,确定宫玮等,名同学组成三支代表队,安排颜艳旭,谭振梅两位老师进行了为期三个月的集训辅导,并最终获得可喜成绩,通过参加此次竞赛,一方面,教师和学生进一步了解了在信息化快速发展背景下,会计信息化应用能力的重要性,另一方面提高了学生在信息化环境下处理企业业务的能力,实现了,以赛促学,以赛促教,的目标,通过参加大赛的举办,推动了学院实践教学体系的构建,扩大了我校的社会知名度","8,Dec",学生在全国大学生会计信息化技能大赛全国总决赛中获佳绩
"月,日下午在博文楼,教室,学院为师生举办了一场名为,调查问卷的设计与评估,的专题报告,学院邀请的主讲人是山东大学管理学院陈振华博士,陈,博士,的,报告,从调查问卷的内涵,分类,结构,设计流程,问题的设计开发以及数据处理,个方面进行了介绍,整个报告体系严谨,案例生动接近生活,引发学生的兴趣和共鸣,也,为,本科生撰写毕业论文提供了一种方法和思路","8,Dec",会计学院举办“调查问卷的设计与评估”专题报告
"颂百年征程,聚奋进力量,山东女子学院会计学院举办教职工党史知识竞赛,为庆祝中国共产党成立,周年,铭记中国共产党百年奋斗的光辉历程和伟大贡献,激励教职工党员学党史,悟思想,办实事,开新局,以优异成绩迎接中国共产党的百年华诞,会计学院于,月,日举办,学党史,铭党恩,系列活动之教职工党史知识竞赛,本次党史知识竞赛共有,名老师参加,竞赛活动以书面答题方式进行,竞赛题目涵盖党史,新中国史,改革开放史及社会主义发展史内容,在竞赛过程中,大家认真思考,仔细答题,严格遵守竞赛规则,最终,有,位老师获一等奖,位老师获二等奖,位老师获三等奖,其余老师为优秀奖,述往思来,向史而新,站在两个一百年的历史交汇点上,学习党史是为了更好地前行,通过此次党史知识竞赛,教职工深刻理解到只有深入学习党史知识,才能真正做到学史明理,学史增信,学史崇德,学史力行,并表示在今后的工作中坚持把立德树人作为根本任务,不断提高创新型人才培养能力,努力培养出担当民族复兴大任的时代新人,为庆祝中国共产党建党,周年作出应有贡献","6,May",颂百年征程，聚奋进力量
"年第九届山东省大学生科技节创新创业沙盘模拟经营大赛,本科组,暨第十三届全国大学生,新道杯,沙盘模拟经营大赛山东省总决赛于,月,日,日在烟台大学举行,我院两支参赛队伍均获得二等奖,对此次沙盘大赛,学院领导高度重视,精心准备,自,月份起,学院就从本科生中遴选优秀学生组建队伍,选派指导教师跟踪辅导,经过专业人员培训,院部预赛,决赛及山东省网赛,最终选出两支队伍参加比赛,比赛场上,我院学生团结,努力,不畏强劲对手,喜获佳绩,此次大赛由山东省科学技术协会,中共山东省委高校工委,共青团山东省委员会,山东省发展和改革委员会,山东省经济和信息化委员会,山东省教育厅,山东省人力资源和社会保障厅,中国高等教育学会高等财经教育分会共同主办,烟台市科学技术协会,烟台大学和新道科技股份有限公司承办,全省共有,所学校,支队伍参赛,学生通过参加比赛,提升了专业知识和管理技能,增强了创新意识和团队精神,同时彰显了学校的办学特色,扩大了我校的知名度和影响力","6,Jun",我校学生在第九届山东省大学生科技节创新创业沙盘模拟经营大...
"年,月,日下午,时和,年,月,日上午,点,举世瞩目的全国,两会,在人民大会堂隆重举行,为了及时了解,两会,内容,领会会议精神,会计学院高度重视,积极组织全院师生通过电视,电脑,手机等多种形式收看收听全国,两会,开幕盛况,并通过,群,微信群等进行实时学习和交流,观看过程中,大家全神贯注的聆听了俞正声主席的政协工作报告和李克强总理作的政府工作报告,两会,报告高屋建瓴,纵览全局,报告总结过去,催人奋进,放眼未来,信心倍增,是解放思想,实事求是,与时俱进的报告,反映了时代发展的要求,体现了人民热切的期盼,是中国共产党面向世界,面向未来的宣言,是决胜全面建成小康社会,夺取新时代中国特色社会主义伟大胜利的有力保障,今年是贯彻十九大精神的开局之年,是改革开放,周年,作为国家政治生活的大事,本次,两会,意义深远,会计学院将进一步学习贯彻,两会,精神,将,两会,精神落到实处,落到深处,坚持以习近平新时代中国特色社会主义思想为指导,坚持立德树人的根本任务,把实现每个学生全面,科学发展为己任,提高自身素质和能力,做好教书育人工作,携手新时代,创造新辉煌","5,Mar",会计学院积极组织师生收看收听2018年全国“两会”开幕会
"月,至,日,第十届山东省大学生科技节创新创业沙盘模拟经营大赛,本科组,暨第十四届全国大学生,新道杯,沙盘模拟经营大赛山东省总决赛在山东青年政治学院举行,会计学院派出的两个参赛代表队获山东省级一等奖,项,二等奖,项,学院领导高度重视本次大赛,为学生提供全方位的参赛保障,赛前,学院选派指导教师跟踪辅导,经过预赛,决赛及山东省网赛三个阶段,最终选出两支队伍参加山东省总决赛,赛场上,我院学生团结协作,不畏强劲对手,喜获佳绩,本届省赛由山东省科学技术协会,山东省教育厅,中国高等教育学会高等财经教育分会等主办,山东青年政治学院,新道科技股份有限公司承办,共有,所本科院校的,支队伍参加,通过本次大赛,充分展示了我院学生的创新,创业精神和实践能力,提高了我院的知名度,也彰显了我院应用型人才培养和实践教学改革的理念","5,Jun",喜讯：我院代表队荣获山东省创新创业沙盘模拟经营大赛一等奖...
"月,日,会计学院成功举办,年春季财务会计类毕业生校园招聘会,招聘会吸引了省内外的,余家单位到场参加,包括山东健诚会计师事务所,济南中盛代理记账财务咨询有限公司,北京京北方信息技术有限公司,海尔集团等单位,其中大部分单位是学院的实习就业双基地,此次招聘会为毕业生提供就业岗位,余个,当天,学院有近,名毕业生前来寻找就业机会,由于此次招聘会提供的岗位与学生所学专业对口,相关度大,因此有,余名学生当场达成了就业意向,招聘会召开期间,学院领导与前来招聘的单位进行交流,企业纷纷表示学生的综合素质已经成为人才招聘的一项重要考虑因素,同时也对我院学生体现出的专业技能,学习能力等综合素质给予了高度评价,此次招聘会是推动就业系列活动的重要一环,学院将继续组织面向应届毕业生的招聘宣讲活动,据统计,会计学院,届毕业生签约量与往年持平,就业工作稳步推进","5,Apr",会计学院成功举办2016年春季财务会计类毕业生校园招聘会
