content,times,title
"年外研社,教学之星,大赛,本科英语组,全国复赛获奖名单于近日公布,全国共计,组教学团队提交参赛教学材料,我院两组教学团队凭借优秀的表现在本次大赛中斩获佳绩,外研社,教学之星,大赛以专业水准,规范流程,科学评价为原则,以多语种,多层次,多模式为特色,在全国高校外语教育领域广受认可,被连续列入中国高等教育学会,高校竞赛评估与管理体系研究,全国普通高校教师教学竞赛分析报告,数据来源,本次大赛自,月份启动以来,受到全国高校英语教师的关注和积极响应,我院组织两组参赛教学团队积极备赛,精心准备教学设计方案和授课录像,经过激烈的角逐,刘雯,高荣,赵永霞组成的参赛团队获得大学英语组全国复赛一等奖,刘瑶,王晓莹,吕婷,张茹娟,党长燕组成的参赛团队获得英语类专业组全国复赛二等奖,本次大赛为高校外语教师搭建交流新思想,新理念与新方法的学习平台,也体现出外国语学院教师过硬的教学业务能力,专业功底和优秀的团队合作精神,外国语学院将激励更多教师借此平台进一步提升教学素质和综合素养,撰稿人,高荣,审核人,赵淑容",2021/6/18,外国语学院教师在外研社“教学之星”大赛中获得佳绩
"月,日上午,外国语学院理事会成立大会在学校第三会议室举行,学校副校长贺兴利出席会议并致辞,山东省翻译协会秘书长姜迪,山东迪诺教育咨询有限公司李世铭,济南澳美教育交流中心校长孝本昇,优秀校友代表等来自企业,行业的社会各界人士出席会议,学校发展规划处,科技产业处负责人以及外国语学院师生,余人参加会议,外国语学院有关负责人主持会议,贺兴利在致辞中代表学校对外国语学院理事会的成立表示祝贺,对莅临会议的各位领导,专家表示欢迎和感谢,贺兴利介绍了山东女子学院的发展历程,指出女院总体目标定位为建设地方性,应用型,有特色,多学科协调发展的高水平女子大学,十三五期间,坚持走强化优势,凸显办学特色的内涵式发展之路,强化产教融合,科研实力和社会服务能力显著增强,外国语学院相关负责人汇报了学院理事会的筹备情况,会议选举产生了外国语学院理事会第一届理事会理事,选举产生第一届理事会理事长,副理事长和秘书长,审议表决并通过了,山东女子学院外国语学院理事会章程,草案,山东女子学院外国语学院理事会议事规则,草案,贺兴利,李世铭,姜迪,孝本昇共同为理事会揭牌,贺兴利,刘中文,刘明分别为当选的第一届理事会理事长,副理事长,秘书长,理事颁发聘书,随后外国语学院第一届理事会第一次会议召开,外国语学院相关负责人介绍了学院发展的情况,与会理事代表李世铭发言,外国语学院院长,新当选的理事会理事长赵淑容对各位理事长期以来给予学院发展的支持表示感谢,她表示,十四五期间理事会将持续推进学科专业融合发展,校企协同育人,创新人才培养模式,在教学,科研,社会服务等方面力争再上一个新台阶,与会理事就如何发挥企业重要教育主体作用,深化产教融合,创新社会服务模式等多方面进行了深入交流和探讨,外国语学院理事会成立大会暨第一届理事会第一次会议的顺利召开,有效推进了应用型学院的制度建设,对于健全学院内部治理结构,加快社会各界共同参与的办学新体制,提高人才培养质量和办学效益,更好地发挥学院服务社会的功能起到了重要作用",2021/6/18,外国语学院理事会成立大会暨第一届理事会第一次会议召开
"月,日下午,山东女子学院第四届文化艺术节系列活动之,光影百年,情景剧展演活动在图书馆,座二楼报告厅如火如荼的开展,本次展演以中国共产党建党百年历程中不同历史时期为脉络,通过,身临其境,沉浸式学习,促进党史学习教育,动起来,活起来,热起来,亮起来,活动由校团委主办,外国语学院团总支承办,本次展演通过红色情景剧的形式,带领学生重温峥嵘岁月,在震撼中回溯历史的潮涌,其中,烈火中永生,剧目演绎了革命烈士江姐,许云峰被捕时,面对敌人的严刑拷打依旧坚贞不屈,斗争到底的革命情操,红星闪闪,照我前行,剧目以回忆的方式重现了老一辈革命者面对敌人的威胁和诱惑劝降,绝不屈服的信念,剧目最后学生党员代表重温入党誓词,慷慨激昂的宣誓将活动现场气氛推向高潮,觉醒宣言,剧目将大家拉回到,五四运动,时代节点,先进青年知识分子为拯救民族危亡,捍卫民族尊严,凝聚民族力量,掀起了伟大的社会革命运动,这场精彩纷呈的演出,每位观众都仿佛身临其境,一次次热烈鼓掌,一次次热泪盈眶,凸显了革命历史的精神本质,体现了红色文化的内涵,党的百年奋斗史是最生动,最有说服力的教科书,青年学生通过自编自导自演党史情景剧,生动再现了共产党人浴血奋战的,革命瞬间,本次活动拉近了学生和党史之间的距离,激励广大青年学生做到学史明理,学史增信,学史崇德,学史力行,真正在学习党史中汲取奋进力量,从党的百年历程中感悟初心使命,赓续红色精神血脉,外国语学院团总支",2021/6/18,山东女子学院第四届文化艺术节系列活动之 “光影百年”情景剧展演
"近日,外国语学院赵淑容教授,宋君霞副教授共同撰写的论文,被教育技术类,二区期刊,以下简称,期刊,接收,并已进入在线发表状态,该论文聚焦我国教师在实施混合式教学过程中面临的困难,研究发现教师面临的三大困难是工作量增加,缺乏资金自建线上课程以及缺乏时间准备线上教学活动,此外还发现教师需要获得教学支持,资金和基础设施支持,政策支持等,这些发现表明,应建立有针对性的支持系统来解决教师在混合式教学实践中面临的困难,期刊由,出版,其目的是促进高等教育中整合技术的研究和学术,促进有效实践,并宣传相关政策,该期刊影响因子,为,是教育技术类知名国际期刊,近年来,外国语学院大力鼓励和支持学院教师在国内外高水平学术期刊发表学术论文,提高学院学术影响力,学院教师发表高水平学术论文数量逐年增加,年至今,学院科研工作硕果累累,屡创新高,全院共发表高水平期刊论文,篇,其中,类论文,篇,类,篇,类,篇,学院一直将高水平国内外期刊论文发表作为推动科研工作的重要抓手,通过举办高层次学术讲座,举办,科研启明星,系列活动,培育高水平科研项目等一系列措施以及制定学院配套学科建设,科研学术组织管理办法,奖励性绩效分配办法等规章制度长期致力于推动学院科研实力的整体提升,撰稿人,刘瑶,审稿人,赵淑容",2021/6/17,外国语学院教师发表高水平国际期刊论文
"磨砺生命韧性,绽放青春光芒,心理健康脱口秀大赛,于,月,日下午在求实楼,教室成功落下帷幕,这场活动由山东女子学院学生工作处主办,外国语学院承办,本次大赛分为初赛和决赛两个阶段,经过选拔,共有,组选手进入决赛进行现场展示,各参赛作品紧密结合大学生日常生活,围绕压力排解,亲密关系,焦虑缓解,个人健康,等心理健康相关内容,用轻松的形式,展现出当代大学生对于心理健康的看法和思考,经过两个小时的展示和比拼,最终,外国语学院苏雅雯获得此次比赛一等奖,教育学院杨雨萱,艺术设计学院杨晨雪获得二等奖,教育学院季燕红,刘一平等同学获得三等奖,会计学院赵静,外国语学院赵芊等同学获得优秀奖,活动最后,学校心理健康中心刘艳君老师对此次活动进行了总结发言,她指出,用脱口秀的方式呈现大学生心理健康的有关内容是非常新颖的形式,整个比赛精彩纷呈,充分展示了女院学子积极向上的精神面貌,对大学生树立良好心态起到了促进作用,达到了宣传心理健康知识和优化学风建设的双重功效,在喜迎建党百年之际,学校不断探索大学生心理健康教育的新思路,新方法,此次心理脱口秀大赛,引导学生对大学生常见心理健康问题和困扰做出了更深入的思考,对帮助青年学生培育自尊自信,理性平和,积极向上的健康心态,促进学生全面协调发展有十分积极的意义,外国语学院团总支",2021/6/16,“磨砺生命韧性，绽放青春光芒”心理脱口秀大赛成功举办
"年,月,日,首届,外教社杯,全国高校日语电子课件大赛比赛结果通过网络发布,来自全国两百多个高校的逾,个日语教师团队提交了参赛作品,我校外国语学院日语教研室的岳小冬老师团队在激烈的竞争中以专业的日语素养和优秀的教学能力获得团体三等奖,首届,外教社杯,全国高校日语电子课件大赛由教育部高等学校外国语言文学类专业教学指导委员会日语分委员会,中国日语教学研究会和上海外语教育出版社联合举办,自,月启动以来得到了全国高校日语教师的广泛关注和积极响应,我校日语教研室张海燕老师,李芯老师,张璐璟老师和岳小冬老师的参赛内容是日语综合教程第二册,神户之旅,一课,四位老师按照比赛要求精心制作电子课件,结合课程思政将中华优秀传统文化对日本传播的历史融入日语教学,并综合运用电子教学技术将课件完美呈现出来,课件中还录制了以神户中华街为主题的微课视频,具体展现了自古以来中日文化交流融合的过程,通过参加这次比赛,我校日语教研室教师提高了教学业务水平,加深了对于日语课堂课程思政的思考,有效促进了教师的专业化发展,撰稿人,岳小冬,审核人,赵淑容",2021/6/15,外国语学院岳小冬老师团队获首届“外教社杯”高校日语电子课件大赛三等奖
"近日,山东省教育厅公布了山东省本科课程思政示范项目遴选结果,我院赵淑容教授负责,教学团队成员,宋君霞,高荣,王晓莹,张欣,曹翠红,石荣菊,的,国际商务英语,课程入选,年山东省普通本科教育课程思政示范课程,根据,山东省教育厅关于开展课程思政示范项目建设工作的通知,鲁教高函,号,入选示范课程相应授课教师,团队同时被认定为山东省普通本科教育课程思政教学名师和教学团队,本次课程思政示范项目建设工作经学校推荐申报,资格审查,专家评审,结果公示,择优确定了山东省普通本科教育课程思政示范课程,门,普通高等教育课程思政教学研究示范中心,个,其中我校共有,门课程入选山东省本科教育课程思政示范课程,国际商务英语,课程教学团队通过不断完善课程教学大纲,探索新的教学模式,深挖教学材料中的思政元素,加强师资队伍建设,完善教学评价体系等落实立德树人根本任务,实现价值塑造,知识传授,能力培养,三位一体,的人才培养目标,课程思政建设是一项系统工程,是一项必须长期持续加强和改进的重要工作,今后,学院将强化示范课程的引领作用,继续围绕,培养什么人,怎样培养人,为谁培养人,这一根本问题,深化课程改革,打造高质量的课程思政示范课程,进一步提升外语教学的思想性和人文性,实现育人和育才的结合,不断提升我院应用型外语人才的培养质量",2021/6/15,《国际商务英语》入选2021年山东省普通本科教育课程思政示范课程
"月,日晚,应科研处,外国语学院邀请,北京语言大学高级翻译学院教授,博士生导师王立非教授通过腾讯会议做了题为,经济话语研究的理论视角与研究方法,的学术讲座,本次讲座由外国语学院院长赵淑容主持,科研处教师,外国语学院全体教师以及来自北京外国语大学,山东大学,湖南大学,山东财经大学等多所高校的教师参加了此次线上讲座,王立非教授,博士,北京语言大学高级翻译学院博士生导师,国际语言服务研究院院长,享受政府特殊津贴,历任教育部高校英语教学指导委员会委员,商务英语专业教学协作组组长,研究方向为应用语言学,商务英语,语言服务等,在,期刊发表论文超过,篇,著有,商务英语名物化研究,商务英语论要,商务英语综合教程,中国企业,走出去,语言服务蓝皮书,语言服务产业论,新时代语言服务研究文库,等,主持国家社科基金项目,教育部人文社科基金项目,北京市社会科学基金重点项目,中央在京高校重大成果转化项目等,曾获北京市优秀科研成果奖,两次荣获北京市优秀教育教学成果奖,王立非教授从研究意义,理论视角,重点话题,研究方法四个方面切入,首先从国家战略背景论述经济话语研究的重要实践意义,在理论视角方面,提到了可采用体裁理论,叙事理论,社会隐喻理论,文本情感分析理论进行话语研究,接着他对经济话语进行了定义和分类,并论述了其理论基础,随后,王立非教授对经济话语的多维视角和经济话语体系构建进行了阐释,并总结了经济话语的研究方法,整场报告信息丰富,紧密结合经济现实,使人倍受启发,报告结束后,王教授与在线教师进行了积极的互动,并耐心解答了提出的问题,供稿人,刘瑶,供稿单位审核人,赵淑容",2021/6/2,“经济话语研究的理论视角与研究方法”学术讲座
"为进一步普及贷款毕业生对国家助学贷款还款知识的了解,增强贷款毕业生诚信意识,外国语学院于,月,日下午在博学楼,教室开展了贷款毕业生诚信教育主题活动,这次活动由学院负责资助工作的教师曹丽娜担任主讲,余名贷款毕业生参加,曹老师着重强调了诚信的重要性以及违约对个人征信的影响,希望贷款毕业生都能诚实守信,按时还款还息,珍惜自己的信用记录,避免因为违约给自己今后的生活和工作带来不便,此外,曹老师还为贷款毕业生介绍了还款操作流程,支付宝平台操作的注意事项以及在还款过程中可能出现的特殊情况等,随后,曹老师跟现场同学进行了交流互动,解答了同学的疑问,人而无信,不知其可也,此次诚信教育主题活动有利于我院学子涵养以诚立身以信致远的良好品质,也有利于进一步深化和巩固我院诚信教育成果,营造诚实守信重诺践诺的学院文化氛围,外国语学院团总支",2021/5/27,外国语学院开展贷款毕业生诚信教育主题活动
"月,日下午,外国语学院党总支召开理论学习中心组学习会议,专题学习研讨改革开放新时期历史,本次学习采用个人自学思考与集体学习研讨相结合,视频微党课与专题文章辅导相结合的形式,党总支理论学习中心组成员参加会议,会议集体学习了,国史讲堂,系列理论视频之,党史微课,为什么说党的十一届三中全会实现了伟大历史转折,十一届三中全会重要性可与遵义会议相提并论,学习了专题辅导文章,邓小平南方讲话,与会成员在学习的基础上进行了深入交流研讨,会议认为,改革开放是中国共产党领导全国人民的伟大历史性创造,是今天中国的时代精神,解放思想,实事求是,与时俱进,大胆探索等等,构成了我们的改革精神,时代精神,我们都是改革开放的亲历者,参与者和见证者,我们要从历史中汲取智慧和力量,砥砺信心和勇气,把改革开放不断推向深入,会议要求,党总支理论中心组成员要高举新时代改革开放旗帜,要敢于迎难而上,突破攻坚,发挥好开路先锋,示范引领作用,不辱使命,不负重托,为学院和学校的发展积极贡献智慧和力量,供稿人,袁瑞霞,供稿单位审核人,耿华",2021/5/26,外国语学院党总支理论学习中心组 专题学习研讨改革开放新时期历史
