content,times,title
"为贯彻落实校团委青年学生党史学习教育方案及团学干部作风整顿提升工作实施方案,会议上,宋天娇老师首先传达了校团委下发的青年学生党史学习教育安排,带领同学,随后宋老师向同学们逐条解读我院的团学干部作风整顿提升方案,并与现场多名团学,最后,宋老师还带着全体学生团干部一页一页翻阅解读了新印发的团支部手册,要求,本次会议有利于学生团干部明确各自的工作任务,带动和引导教育学院各个团支部班",2021/6/11,教育学院团总支举办党史学习教育推进会
"为进一步加强我院学风建设,迎接即将到来的全国大学生英语四六级考试,山东女子,报告伊始,杨玉珊老师首先向大家介绍了大学英语四六级考试的重要性,并讲解了考,随后,宫翠萍老师系统地向学生们介绍了四六级考试的备考方法,并就四六级考试多,最后,刘梦珂和司西翠两位同学结合自身考试经历,在考试心态和分数分布等方面进,这场及时有效的英语经验交流会使同学们获得了备战四六级考试的宝贵经验,充分调",2021/6/11,教育学院举行“学在教育”之大学英语四六级讲座
"为贯彻落实习近平总书记关于帮助高校毕业生,顺利毕业,尽早就业,的重要指示精神和党中央,国务院关于,稳就业,保就,会议伊始,艾比象教育园长闫欣进行了宣讲,她表示艾比象教育始终坚持,学生第一,老师第二,家长第三,股东第四,的观念,并且尊重每一位老师的辛苦,随后,一起学网校用创新的企业理念吸引了在场同学们的目光,其网校通过采用真人,接着,摇篮兔负责人王小倩老师对该品牌进行了详细宣讲,该品牌涵盖线上线下亲子,宣讲会最后,玛酷机器人负责人也对其企业文化,发展历程,薪资福利,岗位招聘要,宣讲会上气氛活跃,同学们积极与招聘人员交流,主动了解用人单位的情况,通过各,此次企业宣讲会不仅有利于调动山东女子学院教育学院学生的就业积极性,同时也丰",2021/6/11,山东女子学院教育学院“就业促进周”——教育类企业宣讲会
"月,日早上,教育学院团总支在学校操场开展了,传承红色基因,喜迎建党百,校国旗护卫队迈着铿锵有力的步伐护送鲜艳的五星红旗入场,全体师生庄严肃立,向,最后,由教育学院春雨合唱团以及艺体部带来合唱,唱支山歌给党听,熟悉的旋律,回望过去,感慨万千,展望未来,无限期待,百年征程波澜壮阔,百年初心历久弥坚",2021/6/10,教育学院举行“传承红色基因，喜迎建党百年”升旗仪式暨“重...
"月,日,山东女子学院教育学院,理事会成立大会暨一届一次会议在学校第三会议室举行,学校副校长刘恩允,全体理事会理事以及学校有关部门负责人出席本次会议,会议由,教育学院党总支书记崔江宁主持,副校长刘恩允,首先,发表致辞,她表示,教育学院理事会的成立,是顺应教育教学改革和建设现代大学制度的新要求,有利于,教育学院院长董吉贺汇报,了,理事会筹备情况,会议审议通过,教育学院理事会章程,草案,教育学院理事会议事规则,草案,副校长刘恩允,山东师范大学心理学院副院长司继伟,临沂大学教育学院院长张洪高,我校教育学,教育学院理事会,揭牌,会上为当选理事一一颁发了聘书,随后,山东女子学院教育学院,副,院长李高波介绍了教育学院的发展情况,理事会代表张卫东进行了发言,现场的理事会成员,围绕教育学院学科专业发展展开,讨论,建言献策,董吉贺院长作为新当选理事长,发表讲话,他,表示,教育学院理事会要进一步加强自身建设,充分发挥教育学院的学科,专业,优势,全面加强与社会各界的联系合作,实现优质资源共享,促进高校和理事单位协调发展,共同进步,为教育学院,和学校,的未来发展贡献力量,会后,与会人员合影留念,并于下午举行了专家报告和校友座谈会,教育学院理事会坚持党的教育方针,全面贯彻科教兴国战略,遵循,平等互信,互惠互利,资源共享,共谋发展,的原则,推进教育学院与社会各界的",2021/6/5,山东女子学院教育学院召开理事会成立大会暨一届一次会议
"重温女院记忆,共谋学院发展,月,日下午,山东女子学院,教育学院于博雅楼,举行,庆百年华诞,抒女院深情,优秀校友座谈会,天津工业大学副教授,学前教育专业,级优秀校友白路莅临我院,座谈会上,路敏,对,白教授,的到来表示感谢和欢迎,期待白教授,能够为教育学院和学校的发展提供一些建议,和,教院,学子一起畅谈和展望美好的明天,接着,白路教授以,与书为友,终生学习,讲座,她强调了经典,源泉,和学术名著中所蕴含,的宝贵,价值,鼓励大家积极阅读,从书籍中汲取智慧,努力构建自身知识体系,面对全球化,做到,鉴往知来,砺行致远,白教授还以浅显易懂的例子告诫大家,注重,博雅,修身,提高人生审美能力,真正做到内外兼修,根据,学生代表围绕,当下学习生活,向白路教授提出,的困,惑,教授,结合自身实际给予了真挚的回答,白路教授,回忆了初到女院的青涩时光及对女院最初的印象,表示在积极关切着母校的发展变化,对学校和学院今日所取得的成就感到自豪,提到毕业后在,自身,岗位上所取得的优异成绩,认为,在校学习中学到的专业知识和形成的能力素养都为今日发展打下了坚实基础,且,由衷感谢,当年,老师,们,的教导和学院的关怀,白路教授还勉励学弟学妹们培养优秀品格,真正做到学有所长,路书记,向,白路教授,赠送,校友纪念品,并合影留念,此次座谈会的开展,将,优秀,校友对于学院的珍贵情怀与播撒到了在校学子们的心中,学院也将在继承传统,总结经验的基础上继续抢抓机遇,力争上游,携手广大校友在促进学院发展方面再上新台阶",2021/6/5,山东女子学院教育学院举行“庆百年华诞，抒女院深情”优秀校...
"月,日,山东女子学院教育学院,面向希望小屋受助儿童举办线上支教活动,本次帮扶对象为教育学院捐建的,小花希望小屋,受助对象曹同学,经过前期沟通,曹同学正在小升初阶段,数学为,为保证,支教,的顺利进行,学院前期面向小学教育专业学生志愿者开展试讲选拔活动,并提前一周集体备课,制定授课,方案,线上课堂中,志愿者们,面对,曹,同学尤为困惑的,行程,问题,和几何问题,利用举例,图画等形式,讲解要点清晰,内容细致,并,与,曹,同学进行,积极互动,课堂氛围愉悦融洽,授课结束,后,应用心理学专业志愿者,与,曹,同学进行,进一步交流,了解到,曹,同学对,数学,等理科科目的不自信后,志愿者,分享,了,自己的亲身经历,鼓励,曹同学,正视自己的不足,在薄弱处,多,下功夫,慢慢积累,定会厚积薄发",2021/5/30,暖心筑梦-教育学院面向希望小屋受助儿童举办线上支教活动
"为深入学习贯彻习近平新时代中国特色社会主义思想,全面落实全国,全省教育大会,参加比赛的情景剧形式多样,精彩纷呈,经过激烈角逐,本次心理情景剧大赛获奖情,山东女子学,年,月,日",2021/5/29,实现自我突破·绽放蓬勃人生——山东女子学院心理情景剧大赛获...
"为推动党史学习教育走深走实,月,日下午,学校党委委员,统战部部长李君在,李君围绕政治立党,思想建党,理论强党,从严管党治党,本领兴党四个方面,用系,一个半小时的专题党课,引经据典,深入浅出,使在座的党员师生受益匪浅,老师同",2021/5/27,学校党委委员、统战部部长李君为教育学院师生党员上专题党课
"月,日下午,教育学院党总支赴莱芜战役纪念馆举行党史学习教育之,青春大讲,在纪念馆内,党员同志们认真聆听讲解,在一件件革命文物,一幅幅饱经战火年代存,捐躯赴国难,视死忽如归,的英勇无畏气概,体会到革命老区军民的鱼水深情和拥军支前的光荣传统,在身临其,在革命纪念塔前,全体党员重温入党誓词,铿锵的誓言,让大家热血沸腾,仿佛重回,青春大讲堂第二期依托莱芜战役这一重要事件,通过现场体验,将理论与实践,历史",2021/5/20,教育学院举行“弘扬革命传统，牢记初心使命”党史学习教育之...
