content,times,title
"年,月,日下午,学院于博文楼,举办党史学习教育专题党课,党课由学院党总支书记潘建勋讲授,学院全体师生党员聆听了本次专题党课,学院党总支书记潘建勋以,重温抗美援朝,为主题,为大家介绍了长湖津,上甘岭等著名战役,带领全体党员师生重温中国志愿军出国作战时的艰苦岁月,了解杨根思等英雄的光辉事迹,通过潘书记的讲授,大家感受到了为了祖国和民族的尊严而奋不顾身的爱国主义精神,潘书记也号召全体党员师生学习在今后的工作和学习中不畏艰难险阻,勇担时代使命,通过本次党总支书记讲党课,进一步加深了我院党员同志对抗美援朝战争的理解和认识,在场师生都纷纷表示要从抗美援朝精神中汲取磅礴力量,拼搏进取,砥砺前行,以优异的成绩迎接建党百年",2021/6/11,学院党总支书记为师生党员讲授专题党课
"月,日上午,学校党委委员,副校长侯素美带领校党委学生工作部,处,处长王永泉,团委书记苏婧来学院调研并召开座谈会,学院党总支书记潘建勋,党总支副书记郑全蕾和全体辅导员老师参加,会上,潘建勋书记对侯校长莅临指导表示欢迎,郑全蕾书记介绍了学院在校生规模,专业设置以及,年招生计划,学院设置本专科专业齐全,招生层次涵盖普通本专,校企合作,在校生规模即将即将突破,人,侯校长针对学生教育管理工作提出新的要求,并建议学院提前谋划,做好充分准备,确保学生管理工作顺利进行,针对毕业生离校前的安全隐患问题,侯校长强调,要充分认识当前形势下校园安全稳定工作的重要性,切实增强政治意识,大局意识,责任意识和担当意识,结合本学院实际情况,利用多种途径,各种时机,发挥住楼辅导员作用,进一步创新安全教育方式方法,开展内容丰富,形式多样又贴近实际,贴近学生的安全教育,关注重点学生,确保毕业生顺利离校",2021/6/11,学校副校长侯素美一行来我院调研
"月,日,数据科学与计算机学院党总支副书记兼宣传委员郑全蕾及学生党支部书记于博文楼,开展党史学习教育专题党课,学生党支部全体学生党员均参加了此次党课学习,会议伊始,郑全蕾副书记从党旗基本知识和,新时代,新使命,新担当,两个方面展开讲解,她首先讲述了从,年党旗初步形成到,年十六大对党徽党旗图案的性质,制作和使用作出明确规定的发展过程,在讲到,新时代,新使命,新担当,时,她强调了当代大学生特别是青年党员应该以优秀党员的标准严格要求自己,要立足新时代,开启新征程,践行新使命,强化新担当,在生活,学习,工作等各个方面起到先锋模范作用,随后,学生党支部书记魏宝懿老师向全体学生党员讲述了陈昌甫,向警予,黄秀文三位巾帼英雄的故事,在三个故事的讲述过程中,大家感受到了英雄们的崇高信仰和强烈的责任感,同时,魏老师强调,学生党员应积极向巾帼英雄学习,面对生命,她们毫无畏惧,面对个人利益和集体利益,她们毅然决然选择了集体利益,选择了矢志不渝地坚持中国共产党的领导,通过此次党课的学习,学生党员们深刻体会到自己与一名优秀党员的差距,大家纷纷表示以后会更加努力学习,认真工作,服务学生,为建党百年献礼,数据科学与计算机学院学生党支部,年,月,日",2021/6/11,数据科学与计算机学院党总支委员及学生党支部书记讲党课
"为维护校园环境整洁,培养入党积极分子为人民服务的意识,弘扬时代新风,营造浓厚的服务氛围,学院学生党支部于,月,日组织开展入党积极分子培训实践活动,参加此次活动的有王子露老师及我院全体入党积极分子,此次主题实践的内容分为三部分,打扫卫生区,宿舍安全检查,自行车摆放,全体入党积极分子共分为三组,每组负责其中一部分,首先,打扫卫生区的小组,他们对学校的各个卫生区进行了全方位的打扫,活动过程中,他们进行了明确的分工,仔细打扫,大大提高了工作效率,随后,王子露老师带领宿舍安全检查小组的积极分子到,号公寓学生公寓进行宿舍安全隐患排查,积极分子们提醒宿舍内的学弟学妹要时刻提高自我防患意识,重视公寓用电等安全问题,最后,自行车摆放小组把自行车进行分类摆放整理,小组成员积极配合将自行车依次摆放到指定区域,使校园环境变得更加井然有序,经过全体入党积极分子的共同努力,我们的校园环境得到了改善,通过本次活动,既清洁了校园环境,又锻炼了入党积极分子的劳动能力,树立了更好地为广大师生服务的意识,希望入党积极分子们继续发挥带头作用,能够为校园,为社会做更多有益的事,并带动身边其他同学从我做起,从小事做起,为清洁校园出一份力",2021/6/11,学院学生党支部组织开展关于入党积极分子 主题实践活动
"年,月,日晚上,学院于博文楼,开展专题研讨会,学,院全体入党积极分子学生参加,本次会议由辅导员王子露老师主持,首先,王子露老师以个人经历讲解,不畏艰难险阻,勇担时代使命,这一主题,王老师强调,青年一代是国家的未来,是民族的希望,我们应当将爱国奋斗,不畏艰险的精神贯彻到行动当中,勇于承担起时代赋予我们重任,而后,王子露老师请同学们针对这一主题发表自己的感想,同学们踊跃发言,纷纷表示将会牢记老师的教育指导,将,不畏艰难险阻,勇担时代使命,的担当和奉献精神贯穿在自己的学习生活当中,脚踏实地,埋头苦干,把个人理想与党和国家的事业相融合,为党,为祖国,为人民做实事,为实现中华民族的伟大复兴添砖加瓦,最后,老师针对会上内容进行了总结概括,鼓励大家学习不怕苦的精神,将时代的责任牢记于心,通过本次研讨会,让积极分子学生学习不畏艰难险阻的精神,进一步坚定理想信念,用实际行动承担起时代使命,脚踏实地,不忘初心,绽放出青春光彩",2021/6/10,学院学生党支部 举办“不畏艰难险阻，勇担时代使命”专题研讨会
"月,日上午,数据科学与计算机学院邀请青山东大学吴建良教授在博雅楼,会议室作了一场精彩纷呈的高端学术报告,学院师生代表聆听了本次报告,本次报告的主题是,无子式,图的全染色,首先介绍图的子式,和点染色,两个概念,围绕,猜想讲述一下它们之间的联系,其次给出图的边染色,线性荫度和全染色等概念,并介绍我们最近针对无子式,的图在这些染色方面获得的结果,以无子式,图的全染色为例讲述一下这些结果的证明思路,最后提出一些可以继续探讨的研究方向,报告会后,吴建良教授和在场师生们进行了交流与互动,并对大家提出的问题一一进行了解答,本次报告让在场师生们受益匪浅,通过这次报告,不仅让在场师生了解到无子式,图的全染的相关知识,还在期间介绍图论方向在当今社会的发展前景以及近期火热进行的计算机操作系统初赛,师生们通过听取报告提高了自身创新能力的同时,也加强了对专业隐知识的积累,有利于促进师生专业性和多样性的发展",2021/6/9,学院举办高水平学术讲座
"月,日下午,数据科学与计算机学院学生党支部部分同志,在辅导员老师的带领下赴张夏街道,三十里玉杏谷,帮助农户采摘玉杏,在活动现场,党员同志统一穿着志愿服,佩戴党徽,亮明身份,在场的每一位党员同志都干劲十足,挽起裤脚,撸起袖子,拿着剪刀,提着果箱,穿梭在一排排的杏园之中,当日气温已经达,党员志愿者们不辞辛苦,摘杏,打包,运输装车,各个环节大家相互默契配合,努力把农户的每一分心血都悉心采摘,经过一下午的努力,党员志愿者们帮助农户采摘了,多箱张夏玉杏,农户纷纷向党员志愿者们表示感谢,真正的把为人民服务这句话付诸以实践,百年征程心向党,青春奋进正当时,通过此次志愿服务活动,展现出我院学生党员乐于奉献的服务精神和积极向上的精神面貌,切实发挥出党员先锋模范作用",2021/6/4,学院党员志愿服务队赴张夏开展志愿服务活动
"月,日上午,数据科学与计算机学院邀请青岛大学甘敏教授,中国海洋大学王改革副教授,天津理工大学黄玮教授在博雅楼,会议室作了一场精彩纷呈的高端学术报告,学院,余名师生代表聆听了本次报告,甘敏教授报告的主题是,非线性模型的优化算法,非线性模型的参数优化问题是机器学习,计算机视觉,图像处理等众多领域的共性难题,寻找高效的算法具有很大的挑战性,甘敏教授介绍了非线性模型优化问题的基本概念,讲解了变量投影算法的经典策略及其扩展,最后介绍了一种利用变量投影算法的思想开发的递归算法,该递归算法能够高效地解决非线性模型的参数优化问题,王改革副教授以,基于智能算法的大数据优化研究,为题,采用自适应理论,多策略融合及知识驱动理论,提出了自适应智能算法,多策略智能算法及基于知识驱动的智能算法,这些提出的方法,大大提高了原有算法的性能,并成功的用于解决大数据优化问题中,作为机器学习领域的专家,黄玮教授则从研究背景,数学基础,理论方法,以及应用四方面介绍和探讨深度可解释性机器学习理论及应用,为大家做了题为,深度可解释性机器学习理论及应用,的报告,系统介绍了其团队将深度可解释性理论方面的研究应用于非线性系统预测,人脸识别,步态识别,网络入侵检测等领域上取得的成果,报告会后,三位教授和在场师生们进行了交流与互动,并对大家提出的问题一一进行了解答,本次报告让在场师生们受益匪浅",2021/6/1,学院举办高水平学术讲座
"年,月,日,数据科学与计算机学院考公上岸分享会在博文楼,成功举行,本次分享会邀请我院,级数字媒体技术专业的毕业生学生党员邵雨晴同学为大家分享自己考公上岸的经历,全院学生积极报名并参加本次分享会,会议伊始,魏宝懿老师对邵雨晴同学的情况进行了简单介绍,该生在校期间取得校级奖学金,学习标兵,优秀学生干部,等荣誉称号,并在,年选调生,公务员录取等考试中,取得江苏省考岗位第一名,山东选调岗位第一名及国考岗位第二名的好成绩,目前公务员国税政审结束,拟定公示阶段,特邀请邵雨晴同学返校经验分享和交流,邵雨晴同学分别从考试时间,考试流程,选岗和备考方法等四个方面,分享了一些自己对于备考和考试的经验和方法,首先,针对其报考的国家公务员,江苏公务员,山东选调生等考试进行了较为详细考试内容和时间的讲解并建议学弟学妹们合理安排好复习时间,密切关注报考信息和进度,其次,介绍了公务员及选调生的考试流程,对两者的不同点进行了精简的区别分析,最后,邵雨晴学姐分享了自己宝贵的经验,鼓励全院毕业生把握好应届生的机会,考虑地区及其经济发展等现实因素情况,选择适合且喜欢的岗位,分享会结束后,邵雨晴同学一一解答了同学们提出的问题和疑惑,通过此次党员考公上岸分享会,学生党员为学院学生办实事,在服务中发挥党员的模范带头作用,帮助学生对考公方向,备考策略有了初步了解,为下一步学生考公提供了经验和借鉴",2021/6/1,数据科学与计算机学院 组织“党员办实事”之考公上岸分享会
"月,日下午,数据科学与计算机学院领导班子邀请我校特聘教授叶文振教授到学院针对学院今后的特色发展问题进行专题讨论和座谈,学校发展规划处处长刘中文,妇女研究所副所长张守华,数据科学与计算机学院相关专业人员一起参与了座谈会,数据科学与计算机学院院长孙洪峰介绍了学院目前发展的现状以及学院十四五的相关规划,对学院特色发展方向的确定和存在的问题向叶教授进行了咨询,叶教授从专业的角度,结合当今社会需求,分析了我院专业特点及今后重点关注的方向,叶教授指出,专业发展应结合自身特点,主动融入学校特色,开放性发展,同时要加强与其他学院,其他学科的融合交叉发展,叶教授指出要利用专业优势,围绕学校,发展规划,探索幼儿教育,健康医养,社会工作大数据收集与处理,分析与预测,从政策,家庭,教育等方面,多方位挖掘专业应用潜力,刘中文处长指出学院要积极寻求学科发展,关注健康医疗,健康养老数据库构建,性别评估指标等方面,形成学院明显特色,大家对学校和学院的特色发展开展了热烈深入的探讨,此次座谈会使学院对学校,发展规划有了更清晰的认识,也为学院今后的专业发展和特色发展指明了方向,开阔了思路,形成了共识",2021/6/1,数据科学与计算机学院邀请叶文振教授 到学院开展特色发展专题座谈
