content,times,title
"月,日,文化传播学院党总支组织全体教职工和学生党员,团员代表赴济南市长清区大峰山党性教育基地开展党史学习教育活动,共同缅怀革命先辈的丰功伟绩,接受革命传统教育,在大峰山党性教育基地,大家先后参观了初心广场,中共长清县委旧址,革命根据地纪念馆,在初心广场,全体党员面向鲜红的党旗,庄严地举起右手,重温入党誓词,铿锵有力的誓言彰显大家坚守初心,忠诚于党,担当作为,无私奉献的坚定信念,在中共长清县委旧址,大家参观了大峰山独立营办公旧址,起居室,卫生室等场所,让大家深入了解了大峰山革命根据地在战火和硝烟的淬炼中,从无到有,从弱到强的发展历程,在革命根据地纪念馆,大家学习革命先烈浴血奋战,不怕牺牲的英雄事迹,认真体会革命先烈英勇无畏的斗争精神和抛家舍业的奉献精神,也深刻领悟了我党风雨兼程,一路走来的艰辛,活动中,文化传播学院党总支书记成曙霞谈到今年是中国共产党成立,周年,是实施,十四五,规划开局之年,要求全体党员将党史学习教育贯穿始终,不忘初心使命,继承和发扬,信仰如山,一心为民,不怕牺牲,勇往直前,大峰山革命精神,立足本职工作,积极进取,勇于担当,以饱满的精神状态和务实的工作作风,推动学院各项工作再上新台阶,通过主题教育学习,大家纷纷表示,作为一名党员,一名新时代教育工作者,时刻牢记立德树人根本使命,发挥党员的模范带头作用,传承红色基因,坚定理想信念,以实际行动为学院发展贡献力量,学院领导班子讲授思想政治理论课",2021/4/16,文化传播学院党总支赴大峰山党性教育基地开展党史学习教育活动
"月,日下午,按照学院科研工作安排,我院张华清副教授在文化传播学院会议室作了题为,关于科研问题的几点思考,一个富有挑战性的系统工程,的专题讲座,讲座由我院院长李百晓主持,学院全体教师参加了本次讲座活动,张华清老师结合自身的科研实践,谈体会,讲心得,深入分析了科研工作的科学性和系统性,围绕论文,课题和著作三种科研形式,重点从,题目哪里来,题目可行否,题目如何定,框架怎么构,材料哪里来,文章怎么写,成稿如何投,七个方面进行了系统讲授,并和大家分享了开展科研工作应该具备的四个意识,四种精神,四方面能力,张华清老师的讲座,内容丰富,思路清晰,材料详实,观点新颖,方法实用,富有针对性和指导性,与会教师纷纷表示受益匪浅,此次讲座积极践行,学党史,悟思想,办实事,开新局,中共党史学习教育宗旨,开阔了我院教师的学术视野,为切实提高我院教师的科研能力和学术水平起到了积极的推动作用",2021/4/6,【我为师生办实事】文化传播学院举办专题学术讲座，提升教师科研能力
"月,日下午,文化传播学院,教师综合业务能力培训班暨新技能大赛启动仪式,在学院,会议室举行,会议由我院院长李百晓主持,全体教师参会,院长李百晓深刻阐述了组织此次培训的初衷及重要意义,表示,文化传播学院作为以,文化传播,为主导学科专业的学院,每一位教师都应时刻关注传媒发展动态,与时俱进,开拓进取,立德树人,作为高校教师,不仅要用最前沿的学术理论不断充实自我,也要以最先进的媒介技术武装自己,围绕高素质应用型人才培养目标,充分利用我院自身硬件设施的优势,对标,四有,好老师标准不断提升自身综合业务能力,聚焦学院学科专业特色,更好地服务学生,助力学院发展,与会教师针对,综合能力业务培训班,的组织建设,学习内容,培训形式等问题展开积极讨论和发言,广播电视学教研室曹亚峰老师在会上分享了课程教学方法和实践心得体会",2021/3/21,【我为师生办实事】文化传播学院举办“教师综合业务能力培训班暨新技能大赛启动仪式”
"月,日下午,学院召开全体党员大会,深入学习习近平总书记在党史学习教育动员大会上的重要讲话精神以及学校党史学习教育动员大会会议要求,部署学院党史学习教育工作,学校党委书记郭翠芬作动员讲话,要求要聚焦目标要求,深刻领会和把握党史学习教育的目标任务,必须明确,为什么学,学什么,怎么学,一要准确把握总体目标要求,做到学史明理,学史增信,学史崇德,学史力行,教育引导全体党员学党史,悟思想,办实事,开新局,二要准确把握对象范围,以处级以上领导干部为重点,聚焦青少年群体抓好以党史教育为重点的,四史,教育,三要准确把握重点任务和学习内容,将习近平总书记在党史学习教育动员大会上提出的,六个进一步,要求作为重点任务,一以贯之,扭住不放,同时对照省委实施方案规定的学习内容,深化对党的历史的系统把握,四要准确把握基本步骤和规定动作,总体分三个步骤将党史学习教育贯穿,年全年,同时,将开展专题学习,集中开展专题培训,广泛开展专题宣传宣讲,深化专题研究阐释,高质量过好组织生活,开展,我为群众办实事,实践活动等规定动作高标准高质量落实到位,大家结合工作实际与学科专长,分享交流了学习心得",2021/3/19,文化传播学院召开党史学习教育专题会议
"根据省委关于巡视工作的统一部署,近日,省委第九巡视组巡视山东女子学院党委工作动员会召开,会前,省委第九巡视组组长张宝泉主持召开与山东女子学院党委书记郭翠芬见面沟通会,传达了刘家义同志关于巡视工作的讲话精神,通报了有关工作安排,会上,张宝泉作了动员讲话,对做好巡视工作提出要求,郭翠芬主持会议并讲话,省委第九巡视组副组长及有关同志,山东女子学院领导班子成员出席会议,山东女子学院有关部门和单位主要负责同志列席会议,张宝泉强调,高校担负着,培养社会主义建设者和接班人,根本任务,关系党的事业后继有人,关系国家前途和命运,对省属高校党委开展巡视,充分体现了省委对高校工作的高度重视,是加强党的政治建设,督促做到,两个维护,全面贯彻党的教育方针,落实立德树人根本任务,深化高等教育综合改革,促进高校治理体系和治理能力现代化建设,把严的主基调长期坚持下去,推进全面从严治党向纵深发展的重要举措,山东女子学院党委要提高政治站位,从,两个大局,高度,增强,四个意识,坚定,四个自信,做到,两个维护,深刻认识巡视工作的重要意义,自觉接受监督,积极支持配合省委巡视组工作,坚决完成好省委交给的巡视任务,张宝泉指出,巡视是党章赋予的重要职责,是加强党内监督的战略性制度安排,是党委履行全面监督职责的直接抓手,省委巡视组将坚持以习近平新时代中国特色社会主义思想为指导,深入贯彻落实党的十九大和十九届二中,三中,四中,五中全会精神,坚持围绕中心,服务大局,全面贯彻巡视工作方针,精准落实政治巡视要求,聚焦,两个维护,根本任务,紧盯高校党委职能责任,紧盯全面从严治党阶段性主要矛盾,紧盯领导班子和关键少数,紧盯人民群众反映强烈的突出问题,深入了解落实党的路线方针政策以及党中央重大决策部署和省委工作要求情况,特别是贯彻落实习近平总书记关于教育的重要论述,党中央关于加强党的政治建设,贯彻党委领导下的校长负责制,坚持社会主义办学方向,落实立德树人根本任务等决策部署情况,以及防范和化解重大风险,服务经济社会发展情况,了解落实全面从严治党战略部署情况,加强对主体责任和监督责任落实,权力运行和监督制约情况的监督,了解落实新时代党的组织路线情况,加强对领导班子自身建设,选人用人,基层党建情况的监督,了解落实巡视,审计等监督发现问题和,不忘初心,牢记使命,主题教育检视问题整改情况,发挥监督保障执行,促进完善发展作用,推动省属高校党委增强,四个意识,坚定,四个自信,做到,两个维护,不断提高政治判断力,政治领悟力,政治执行力,加快推进高水平大学建设,以优异成绩庆祝建党,周年,郭翠芬表示,学校党员干部要把思想和行动统一到省委关于巡视工作的部署要求上来,切实增强接受巡视监督,支持巡视工作的自觉性,坚决服从巡视组的工作要求和安排,要提高政治站位,以高度的政治自觉主动接受巡视监督,对巡视发现的问题主动认领,诚恳接受,立行立改,各级党员干部和教职工要本着对党,对组织,对事业,对同志高度负责的态度,实事求是汇报工作,反映情况,客观,真实,准确地说明问题,相关部门要精心组织,周密安排,全力做好巡视保障工作,学校党委领导班子要以巡视为契机,进一步增强党要管党,从严治党的思想自觉,政治自觉和行动自觉,进一步理清发展思路,明确发展定位,努力推动学校各项事业再上新台阶,省委巡视组在山东女子学院工作时间为,年,月,日至,年,月,日,受理信访时间截止到,年,月,日,为便于干部群众反映情况,巡视组建立了多种联系方式,联系电话,接听电话时间为,工作日,寄信地址,济南市,号邮政信箱,网上邮箱,登录山东省纪委监委网站,在,巡视巡察,专题中点击,巡视组信箱,按照提示内容输入即可,还设置了,个巡视组信箱,分别位于长清校区办公楼一楼西侧,图书馆,座入口南侧,食堂东门入口南侧,家属院,号楼,单元入口西侧,玉函校区老年活动之家入口南侧,根据巡视工作条例规定,省委巡视组主要受理反映山东女子学院党委领导班子及其成员,下一级党组织主要负责人的问题以及与巡视工作有关的来信来电来访,重点是关于违反政治纪律,组织纪律,廉洁纪律,群众纪律,工作纪律和生活纪律等方面的举报和反映,其他不属于巡视受理范围的信访问题,将按规定由山东女子学院和有关部门认真处理",2021/3/5,省委第九巡视组巡视山东女子学院党委工作动员会召开
"年,月,日,文化传播学院党总支在博雅楼,会议室召开,年度民主生活会,学校督导组学生处处长王永泉,组织部副部长李霞到会指导,文化传播学院党总支成员参加了会议,会议由文化传播学院党总支书记成曙霞主持,文化传播学院党总支围绕学习贯彻习近平新时代中国特色社会主义思想,加强政治建设,提高政治能力,坚守人民情怀,夺取决胜全面建成小康社会,实现第一个百年奋斗目标的伟大胜利,开启全面建设社会主义现代化国家新征程的主题要求,党总支成员依次结合自身思想和工作岗位实际,开展学习研讨,广泛征求意见建议,认真查找班子和个人存在的突出问题,深刻剖析原因,明确了努力方向和整改措施,党总支成员相互开展了批评与自我批评,大家纷纷表示,一定虚心接受,正确对待同志们提出的批评意见,进一步强化党性修养,改进工作作风,积极推动学院各项工作发展,学校督导组学生处处长王永泉做了点评,本次民主生活会主题明确,内容集中,准备充分,求真务实,认真开展了批评与自我批评,达到了查找问题,提高认识,增强团结,改进工作的目的,取得了良好的效果,文化传播学院党总支书记成曙霞总结发言,会后一定立足学院工作实际,落实全面从严治党,充分利用好民主生活会制度,针对查摆出来的问题,抓好整改落实,紧紧围绕中心工作,形成推动工作的整体合力",2021/1/14,文化传播学院党总支开展2020年度民主生活会
"年,月,日,学院召开党支部书记履行全面从严治党责任和抓基层党建工作述职评议考核会,学院党总支成员和各党支部书记参加会议,党总支书记成曙霞主持会议,会上,各位党支部书记根据学校,关于做好,年度基层党组织书记履行全面从严治党责任暨抓基层党建述职评议考核工作的通知,文件精神,认真总结一年来履行全面从严治党责任和抓基层党建工作的情况,分别从工作思路,工作措施,工作成效,存在问题,改进措施等方面进行汇报,学院党总支书记进行了点评,党总支书记成曙霞表示各支部党建工作开展的扎实有效,本次会议达到了相互交流学习,启发借鉴的目的,在今后工作中,紧紧围绕上级部署,着力突破重点工作和薄弱环节,更加深入推进工作创新与亮点打造,以党建重点建设项目为着力点,抓出特色,抓出成效,创建出自己特色,参会人员根据述职情况,对各位党支部书记抓基层党建工作开展了民主测评",2021/1/14,学院召开党支部书记履行全面从严治党责任和抓基层党建工作述职评议会
"月,日下午,级广播电视专业全体同学在陈朋老师的带领下参观了大众报业集团,在集团公司,在大众报业历史纪念馆,同学们了解了,大众报业集团,从建立到抗日战争时期到解放战争时期到改革开放以后到现在的发展,历程,融媒体实验室,传统新闻编辑室,拍摄,影棚,和,直播间等给同学们留下了深刻印象,不仅让同学们了解了,新闻媒体从业者的,紧张忙碌,的工作状态,也让同学们了解了新时代新媒体媒体发展的趋势和潮流,此次活动是,中外,新闻传播史,课程的一次专业实践,旨,在让同学们学习掌握,理论知识,的同时,了解,行业,发展趋势,和方向,学院,坚持创新实践教学方式,在课程教学,实验项目开展,课程实践等多个环节与行业对接,拓展课堂,提升学生专业视野,文字,夏春秋,图片,王子珊",2020/12/31,学院2020级广播电视专业赴大众报业集团参观
"月,日下午,文化传播学院学科建设与科研工作会议在博雅楼,顺利召开,本次会议重点围绕学校学科建设与科研工作报告展开学习讨论,总结分析学院学科建设与科研工作,同时对,年度的学科建设与科研工作进行预期规划,学校副校长贺兴利出席会议,文化传播学院全体教师参加会议,会议由文化传播学院院长李百晓主持,会上,李百晓作艺术学,广播电视领域,学科建设汇报,汇报从加强对外交流学习,学院科研讲座交流,重视学生创新能力培养,培育学科研究特色等四个方面梳理了本年度学院学科建设及科研工作的相关工作情况,他指出,在学校的大力支持和校内外专家的指导下,学院学科建设与科研工作扎实推进,在学科队伍,立项课题,科研获奖,学生培养成果等方面均取得一定进步,但对标先进还存在一定差距,随后,他对标硕士学位授权审核基本条件及学科建设任务目标,深刻分析了目前存在的不足和差距,他表示,下一步学院将坚持问题导向,补短板,强弱项,统筹谋划,精准发力,不断提升学科建设与科研工作能力和水平,随后,与会人员结合个人实际,围绕学校学科建设与科研工作报告展开学习讨论,学科方向带头人李敏,张华清,董小菲和新进教师代表郭奥彤围绕科研评价体系,科研与教学,科研工作的心得体会等方面分别作了发言,贺兴利副校长在听取汇报和讨论后,对学院的学科建设与科研工作取得的成绩给予充分肯定,对教职工关心,支持学校改革发展,以及在科研工作方面做出的努力表示感谢,他指出,学科建设与科研工作是促进学校师生开展科技创新的重要保障,目前学院科研工作还有进步空间,大家要提高认识,做到科研与教学,两手都要抓,两手都要硬,就下一步做好相关工作,贺兴利提出三点要求,一要在高质量发展上做文章,抓住人才培养这一核心问题,用高质量科研成果有效支撑教学效果,不断提升人才培养质量,二要在特色发展上做文章,结合学校定位与本院教师实际,凝练学科方向,增强学科特色和优势,不断提升核心竞争力,三要在错位发展上做文章,积极争取政策支持,扩大办学规模,坚持走内涵式发展道路",2020/12/25,学院召开学科建设与科研工作会议
"融媒赋能,育,见未来,山东广电教育产业创新发展论坛暨首届融媒影响力颁奖仪式,月,日在济南山东大厦举行,文化传播学院院长李百晓,院长助理郭静受邀参加仪式,院长李百晓在论坛中作主题发言,在发言中,李百晓介绍了学院专业设置等基本情况和开展校企合作的进展,同时围绕融媒赋能教育分享了自己的见解,他认为,社会环境的变化及新阶段教育发展的命题,让我们对融媒赋能教育,有了一个全新的认识,发展高质量教育,离不开社会各界的关注和支持,融媒体与高校在招生,就业,人才培养等环节上应由单纯的信息传播向深度融合转变,融媒赋能高等教育,媒体与高校要在人才培养方案的制定,实训实验室建设,设备的更新及新上专业申报与共建发展等方面展开深度融合的合作,融媒赋能,育,见未来,山东广电教育产业创新发展论坛暨首届融媒影响力颁奖仪式由山东广播电视台融媒体资讯中心举办,旨在推介山东广电教育产品,推动山东广电与高校的产业融合发展,活动中,还举行了,年度融媒影响力颁奖仪式,校企合作项目启动仪式等,活动结束后,院长李百晓接受了山东广播电视台融媒体资讯中心记者的采访,在山东广播电视台公共频道播出",2020/12/14,李百晓：融媒赋能教育应向深度融合转变
