content,times,title
"旅游管理专科教研室顺利召开,年专业招生宣传工作部署会,年,月,日下午,分,旅游管理专科教研室部分教师在旅游学院办公室召开,年专科专业招生宣传工作部署会,会议由教研室主任刘莹主持,刘莹指出今年旅游管理专科招生人数达到历年最高,涵盖旅游管理专业,旅行社经营与管理专业,旅游管理,高铁运营与管理,专业,时间紧,任务重,每一位专业教师都应该充分发挥自己优势参与到招生活动中来,针对往年招生简章内容陈旧的问题,刘莹进行了教研室内部分工,力争将今年的招生简章以图文并茂的形式突出亮点,突出特色,这对每位教师都提出了更高的要求,另外,综合考虑今年招生形势和教研室内部人员构成,教研室一致决定今年会采取线上,线下宣传的形式,希望每位老师都能参与到今年的招生工作中来,都能够识大局,讲政治,有红线,守底线,严格遵守各项规矩,充分展现女院人良好的精神风貌,最后,期待在教研室老师的共同努力下,顺利完成,年招生工作",2021/6/9,旅游管理专科教研室顺利召开2021年专业招生宣传工作部署会
"云驴通杯,导游大赛国赛经验交流会顺利举办,年,月,日至,月,日,旅游学院学子在,云驴通杯,第十二届全国旅游院校服务技能,导游服务,大赛中披荆斩棘,勇攀高峰,其中李玉双,王玉丽荣获英语导游服务三等奖,郭泽清,郑龙悦荣获普通话服务导游三等奖的好成绩,为了给我院学子搭建丰富的学习交流平台,提升我院学子的导游服务水平,旅游学院于,年,月,日晚上,时,在图书馆一报特举办,云驴通杯,导游大赛国赛经验交流会,本次导游大赛带队的刘莹老师和张鹏老师及四位获奖选手出席本次交流会,为我们分享,讲解并解答关于导游服务的知识,导游讲解展示,郭泽清同学在导游讲解展示,交流会首先由郭泽清为大家进行导游讲解展示,郭泽清讲解风趣幽默,言简意赅,短短几分钟的讲解,让同学们游遍了美丽的泉城济南,了解了千佛山,趵突泉,大明湖等景点背后的故事,仿佛身临其境,久久不能自拔,主持人与老师和参赛选手进行访谈互动,老师和国赛选手正在解答疑惑,访谈中,主持人大胆提问,两位老师和参赛选手生动有趣,轻松幽默的向同学们分享了此次全国导游大赛所获得的经验和训练过程一一解答同学们心中的疑惑,通过老师们的倾心讲解,同学们不仅增加了关于导游服务方面知识和经验的储备,还更深一步了解了关于导游服务方面的技巧知识,同时也为同学们指明了下一届比赛的准备方向,提升了同学们的参赛信心和决心,老师和参赛选手解答照片背后的故事,照片后的故事,时光荏苒,回味无穷,导游大赛虽已落幕,留下了很多珍贵的回忆,这一环节,老师们通过照片为我们讲述了比赛和训练中辛酸却又有趣的故事,为同学们深刻展现了奋勇拼搏下开心快乐的一面,更加激发了同学们的热情,坚定了同学们努力向前的信心和决心,老师和参赛选手与观众进行互动,老师和参赛选手正在解答同学们的问题,同学们通过发弹幕的方式把自己心中的疑虑发送到屏幕上,老师们逐一为同学们做出了相应的解决方案,并且进行英文导游讲解的展示,真正做到能为每一个提出问题的同学答疑解惑,提高了本次交流会的质量和效率,让每一位同学都能有所收获,有所成长,此次分享会从形式上进行了创新,一改原来讲解嘉宾一对多的分享形式,采用了多对多,双向互动的访谈形式,这次的交流会不仅解答了同学们对于导游大赛和导游知识的疑惑,更向同学们传递了刻苦努力,超越自我的精神,让同学们对旅游行业有了更深一步的理解,调动了同学们对旅游行业的兴趣,提高了积极性,通过本次交流会,同学们更加热爱旅游行业,更加坚定了在旅游行业上走下去的信心和决心,刘莹,李小蒙供稿",2021/6/8,“云驴通杯”导游大赛国赛经验交流会顺利举办
"空中乘务专业举办空乘职业生涯规划讲座,年,月,日,应空中乘务专业教研室邀请,原山东航空公司两舱乘务员,卡塔尔航空公司乘务长,山东鲁素教育咨询有限公司总经理张恒女士来到我校,为空中乘务专业,级全体学生举办了一场题为,飞行,遇见日月星辰,的空乘专业职业生涯规划讲座,张恒女士从合格乘务员的职业素养出发,结合自己的飞行经历和乘务员职业生涯发展,从专业知识,职业技能,语言能力,沟通能力,应变能力等多个方面讲解了一名合格乘务员的成长路径,同时,结合国内四大航空公司和卡塔尔航空公司的面试,向学生介绍了参加航空公司面试的经验,最后,在结合了自己大学求学,飞行工作经历,职业生涯转型和学历晋升的基础上,为同学们总结了空乘专业职业生涯规划的建议,空乘专业作为我校极具特色的应用型专业,近年来发展迅速,首届毕业生即突破了超过,的空乘上机率,得到了航空公司和业界的普遍关注,空乘教研室坚持,职业化,应用型,的人才培养思路,通过校外专家讲座,校企学术交流,参加航空公司面试等多种途径,让学生尽快了解专业,熟悉行业,帮助学生合理规划自己的职业生涯,取得了显著的教学成果",2021/6/8,空中乘务专业举办空乘职业生涯规划讲座
"开展党史讲座,加强师德师风建设,中国共产党的先驱者们不顾个人安危,放弃个人幸福,毅然成立中国共产党,就是立志把中国人民和中华民族解放出来,月,日下午,旅游学院举办,中国共产党是真正根植于人民的政党,主题教育党史专题讲座,宋志东老师从,人民性是中国共产党的本质特征,入党就是为人民牺牲和奉献,历史和人民选择了中国共产党,三个方面,对中国共产党的历史进行了系统全面的讲述,宋老师深情地讲述了一个个感人的革命英烈故事,使全体教职工重温了党的光辉革命斗争史,也感受了伟大的革命精神,通过开展党史学习教育专题讲座,旅游学院党总支力求把党史学习教育与学院师德师风建设活动结合起来,引导全体教职工学好用好党史,以史鉴今,资政育人,锤炼勇于担当的胸怀,练就善于担当的本领,锻造敢于担当的拼劲,争做,四有,好老师,撰稿人,唐莹莹,审核人,吕建国",2021/6/5,开展党史讲座，加强师德师风建设
"学业经验分享,薪火相传话桑麻,月,日晚,旅游学院在博文,举办了学业经验分享会,并成立了,届校友联盟,会议采用线上,线下相结合的形式,分为传经送宝和现场答疑两个环节,我院,级,级旅游管理专业近三百位本科生出席此次交流会,部分学生参加了线上交流,本次交流会由旅游管理教研室王晓伟,张云舒老师组织,学生会承办,我院本着为同学们服务解难题的宗旨,特邀请了旅游学院从事旅游行业的往届毕业生及考研,考公,考银行等旅游管理专业优秀毕业生共,人分享经验,对我院主题教育活动的开展起到了良好的推动作用,行业精英,此次会议邀请了三位从事旅游行业的往届毕业生,山东齐鲁风情国际旅行社总经理倪立芹,山东青年政治学院教师邢琦娜,马邑博物馆讲解员,广西师范大学在读研究生马紫薇,她们通过现场连线的方式给同学们讲述了宝贵的旅游从业经验,三位学姐给大家分享了旅游管理专业可以从事的岗位,包括旅行社计调工作,旅游产品销售,以及自媒体运营等,她们真诚的心,睿智的话语博得了同学们的阵阵掌声,他们的分享给了同学们很大的帮助,更加明确了以后的从业方向,考公考研,成功上岸,此外,还邀请了,位优秀毕业生来到现场面对面交流,学长学姐们通过自己的切身经历为同学们讲述了宝贵的经验,分别结合自己大学学习经历和备战考试实际从不同的侧重点分享了学习成长过程,图,经验分享会,其中,我院邱嘉伟被中国农业银行青岛支行顺利录用,张凇琪,李雨飞分别考取北京公务员,河北选调生,李佳恒,王萌萌等,位同学考取心仪院校研究生,随后,现场提问环节中,同学们积极的提出心中的疑问,学长学姐们耐心的为他们解答了问题,学长学姐们希望待考研及有意愿的同学们在考研路上坚持不懈,克服浮躁,静下心来考研,不要因为一点点的挫折与困难就半路放弃,强调了考研最重要的就是坚持,他们还分享了应当如何备考以及在备考过程中遇到的问题,希望待考研的同学们避免类似的问题发生,为落实我院,党员教师为学生办实事,的要求,旅游学院根据同学们大学学习生活实际所需,开展学业学习经验分享会,同时,奖励持之以恒,刻苦奋战的优秀毕业生,学院为优秀学子颁发了奖品,激励了学弟学妹们对学业的坚守和对未来职业的规划,促进专业更好地发展,我院举行此次经验分享会,是为了进一步提高我院学生的学业学习热情,有志向考研,考公的同学们坚定自己的目标,脚踏实地,一步一步的走下去,借鉴并学习成功者的经验与方法,保持坚强的意志,顽强的毅力,以永不放弃的精神备战考试,同时,为方便旅游管理专业的学生择业,就业,旅游行业的优秀代表为同学们分享经验,为了同学们的未来可以有更好的发展,也帮助大家明确自己未来的就业方向,获得更多的从业经验,来源,王安琪",2021/6/1,学业经验分享：薪火相传话桑麻
"为有效保障同学们的实习与就业,年,月,日上午九点,在新实训楼,楼,旅游学院组织了旅游管理专业实习暨就业双选会,邀请旅游行业高端企业莅临我校,为,级旅游管理专业学生和,届毕业生提供了丰富的实习与就业机会,双选会期间,各大企业介绍了自己的优势,就业部门,薪资待遇等,为我院学子提供了丰富的就业机会与实习机会,同学们与企业方交流,我院学子与企业方进行交谈,深入了解了当今旅游管理专业实习与就业的前景和市场,为自己以后的实习与就业工作做好了初步规划与打算,我院王晓伟老师与企业方和同学们深切交流,了解企业方的市场定位,发展前景,并对同学们提出了适合自己的实习与就业建议,同学们与企业,方,合影留念,我院通过本次双选会为学子们更加明确了自己的实习与就业的方向,提供了更多的实习与就业的机会,同学们在双选会中表现优异,积极进取,最后祝旅游学院的学子们在自己的实习就业道路上一帆风顺,都能找到自己心仪的实习岗位和工作,编辑,牛纪民,图片来源,新媒体,文字来源,新媒体,一审,孙增瑶,二审,包旭茹,责编,王晓伟,扫码关注我们,山东女子学院旅游学院",2021/5/31,旅游学院旅游管理专业实习就业双选会顺利举行
"旅游管理专科教研室成功举办观摩课活动,年,月,日,旅游管理专科教研室组织教师观摩崔筱溪老师的,旅游英语,据悉,该课程是为,级旅游管理本科和旅游管理春季高考本学生开设的一门专业必修课程,课后,教研室内部进行了观摩课讨论,针对崔筱溪老师的课程每位教师都提出了自己的观点,教研室成员一致认为,崔筱溪老师备课充分,英语发音标准,课程难易突出,能够较好的进行师生互动,是值得教师们学习的地方,但是该课程为考试课程,侧重于英语书面的答题,建议该课程结合旅游行业的实际和目前学科竞赛的需要,重点培养学生英语的表达及沟通能力,可以通过教学改革的形式将本课程的考核方式进行创新,例如,可以设定一个现场英语演讲的题目进行录像,让学生感受到英语学习的,压力,从而提升自己主动学习英语的意识,刘莹供稿,崔筱溪老师课堂,教研室教研活动",2021/5/26,旅游管理专科教研室成功举办观摩课活动
"点赞,旅游管理实习生再传喜报,级旅游管理专科学生李艾睿同学在青岛金沙滩希尔顿酒店实习期间表现优异,被酒店提拔为实习生领班一职,李艾睿工作照片,不知不觉中,实习已经快三个月了,在青岛金沙滩希尔顿酒店的生活已经过半,我所在我的部门是前厅部,行政酒廊,经历了清明节以及五一假期的忙碌,但总是累并快乐着,上班虽然辛苦,但也为自己的人生增添了一份宝贵的经验,很荣幸可以当选金小希的实习生领班,一定会在以后的工作中协助领导,起到实习生领班的作用,李艾睿,级旅游管理专科生张焕联同学在青岛金沙滩希尔顿酒店实习期间表现优异,被酒店聘为正式员工,同时授予前台领班一职,张焕联工作照,从去年,月加入金沙滩希尔顿酒店,到现在已经,个月了,很高兴毕业后能够继续留在这里发展,也很荣幸是以,领班,的身份继续留在这里,这次实习收获颇丰,不仅在工作技能上有很大提升,也接触到了更多在学校不曾接触过的人和事,是一次非常宝贵的锻炼与成长机会,也希望自己在今后的日子里,能够不断提高工作技能,做好自己的工作,并抓住酒店提供的各种成长与发展机会,为自己谋求更大的发展与进步,张焕联,旅游学院始终坚持以行业需求为目标培养行业精英,认真筛选对口企业,以学生发展为出发点,为学生构建良好平台,希望更多的同学们能够热爱旅游行业,越旅游,越幸福,刘莹供稿",2021/5/26,旅游管理实习生再传喜报
"为提高教育教学质量,规范教学行为,进一步提升旅游管理专业青年教师教学业务能力,按照学校及旅游学院本学期期中教学检查相关安排,旅游管理教研室积极组织开展听评课,分别于,月,日与,月,日集体观摩了张丽娜老师的,茶艺,课程和王宇老师的,调酒,课程,并在课后组织了课程点评活动,与两位老师就听课的相关情况进行了探讨和交流,听课教师认为,张丽娜老师授课目标清晰,实训过程演示优雅流畅,课程中既使用了多种媒体展示优秀茶艺案例,教学内容内容,讲课有吸引力,课堂氛围很好,学生听课非常专注,授课过程中引入了思政内容,加强了学生对我国优秀茶文化的认同感,王宇老师的授课目标清晰明确,教学风格风趣幽默,学生听课非常认真,学习质量好,演示时手法娴熟,步骤衔接流畅,学生们的带入感很强,跃跃欲试,最后,听课教师也向两位授课教师提出了一些建议,通过这两次观摩听评课活动,促进了旅游管理专业教师间的学习交流,对教学质量的提高和教师素质的提升起到了积极的推动作用,张云舒撰",2021/5/24,旅游管理教研室组织期中教学观摩课活动
"教学创新,我们在路上,金融学,教学创新大赛分享会,为促进教学创新工作开展,月,日下午,旅游学院邀请山东女子学院经济学院温春然老师,就参加,年度山东省教学创新大赛的内容,准备过程和心得体会做了专题报告分享,报告中,温老师详细讲解了,基于,教学法的,三阶三测,教学创新模式,从课程背景,痛点问题,改革与创新,效果与推广四个方面进行了深入浅出的讲解,并就比赛过程中的材料准备和视频准备过程分享了自己的心得体会,根据参赛感悟,温老师指出教学能力是核心竞争力,教学创新最终结果仍然体现在课程建设上,对于课程建设应该注重日积月累,注重细节改进,积极学习交流,发挥团队力量,不忘初心,造福学生,旅游学院全体教师参加了本次分享会,温老师的分享,干货满满,对老师们启发很大,对学院课程建设与课程组建设将有很大促进",2021/5/21,教学创新，我们在路上
