content,times,title
"近日,社会与法学院成功举办,家乡秀,秀家乡,主题活动,本次活动由团总支主办,面向社法学院在校学生,活动鼓励大学生以家乡照片为题材并附简单描述的形式表达自己对家乡的感情,坚定心中的理想信念,作品征集过程中,学生们热情高涨,积极参加活动,展示家乡美景,参赛作品内容丰富,感情表达细腻,充分表现出学生们对家乡的热爱,对大学生活的向往,展现出大学生的青春风采,本次活动本着,公正,公平,的原则进行评选,以照片真实感和语言描述的生动性为标准,最终评选出一等奖一名,二等奖二名,三等奖三名和优秀奖四名,家乡秀,秀家乡,主题活动为学生们提供了一个展示自己家乡的舞台,激发了同学们参加活动的热情,有利于活跃的校园氛围的形成,丰富大学生的校园生活","9,Oct",社会与法学院举办“家乡秀，秀家乡”主题活动
"月,日下午,山东省家庭文化研究中心第四次全体会议在博雅楼,召开,会议由中心主任王文静副教授主持,主要围绕中心的运行制度,建设任务书撰写,明年会议事宜,中长期建设目标等议题展开讨论,会议首先明确了中心运行制度建设及建设任务书撰写的任务分工,随后,着重讨论了中心成员的主要研究方向及研究任务,最后确定了以下研究方向及任务,一是口述史研究,主要包括小巷总理,老红嫂和产婆等女性群体,并从中发掘家风,家庭文化相关主题,进行研究,计划产出论文和著作,二是开展贫困家庭女性研究,涉及家庭文化和家庭教育两个方面的研究,计划产出为论文和研究报告,三是对家庭文化的深入研究,从文化资本的角度对家庭文化进行概念界定,指标发展,并结合实务研究家庭文化对儿童教育,家庭建构的作用等,计划申报课题和撰写论文,四是家庭教育和反家庭暴力立法研究,计划撰写论文,五是父母教养方式与大学生成长研究,计划撰写论文,六是家规性别研究以及家法,家规与女性犯罪研究,计划撰写论文,七是家庭教育政策法规,家庭教育服务体系研究,计划撰写论文,最后,中心成员建议针对团队中青年教师比例较大,对理论和研究方法的学习不够深入的现状,采用多种途径和方法提高成员的研究理论和方法能力,如集体学习,外请专家讲授,学院组织研究方法的培训等,并制定了近期的学习任务,通过群内讨论并提交读书报告的形式,集体学习布迪厄的理论,本次会议明确了中心成员的研究方向和研究任务,并针对中心成员研究经验不足的情况,提出了相应措施,为中心的进一步发展和成果产出奠定了基础","9,Nov",山东省家庭文化研究中心召开第四次全体会议
"月,日下午,社会与法学院教工第一党支部开展了向黄群,宋月才,姜开斌同志为代表的抗灾抢险英雄群体和王继才同志学习的主题党日活动,会上,全体党员学习了学校党委组织部转发的,关于开展向黄群,宋月才,姜开斌同志为代表的抗灾抢险英雄群体和王继才同志学习活动的通知,以及黄群,宋月才,姜开斌,王继才同志的英雄事迹,会议由党支部书记王文静主持,学院党总支书记张莹以及教工第一党支部部分党员参加,全体参会党员认真学习,充分讨论,会上,张莹书记指出,黄群,宋月才,姜开斌,王继才同志是习近平新时代中国特色社会主义思想的模范践行者,是共产党员的优秀代表和时代楷模,广大党员干部要学习他们信仰坚定,对党忠诚的政治品格,树牢,四个意识,坚定,四个自信,要学习他们恪尽职守,担当有为的敬业精神,王文静书记指出,我们作为教工党员,应立足本职岗位,不务虚功,干在实处,主动担责,全力尽责,以实干诠释使命,以实干创造实绩,要学习他们甘于奉献,勇于牺牲的崇高境界,在关键时刻和危急关头豁得出,顶得住,把理想信念时时处处体现为行动的力量,要学习他们淡泊名利,清廉自守的道德情操,清白做人,干净干事,始终保持共产党人的政治本色,自觉践行共产党人价值观,党员们认真学习优秀党员们的事迹并被深深地感染和激励,大家表示,黄群等同志是共产党员的优秀代表,时代楷模,他们为党的事业和国家利益不怕牺牲,奉献一切的精神,永远是我们学习的榜样,作为新时代的共产党员,一定要坚定理想信念,践行党的宗旨,发挥共产党员的先进模范作用,在平凡岗位上书写人生的精彩华章","9,Nov",社会与法学院教工第一党支部开展“向黄群等抢险酒糟英雄群体...
"近日,由山东省社会科学界联合会主办,山东女子学院社科联承办的,年山东社科论坛分论坛,家庭建设,健康养老研讨会在我校召开,北京大学,厦门大学,沈阳师范大学,石河子大学,济南大学等专家学者,山东社会科学院人口学研究所,学校科研处,社法学院,女性发展研究中心及学校师生代表参加了研讨,我校科研处负责人致辞,对与会专家学者表示热诚欢迎,并向参会代表介绍学校学科专业建设发展情况,与会专家学者通过专题讲座的形式,围绕生育观念,贫困治理,家庭文明,家风建设,家庭教育,女性地位,养老等主题作报告,与会专家的报告均来自最新研究成果,理论与实践并举,探索与对策并重,文采粲然,交互辉映,相得益彰,带来了一场学术盛宴,研讨会还聘请沈阳师范大学社会学学院副教授艾晶为我校妇女研究与发展中心兼职研究员,中国妇女研究会副会长,学校特聘教授叶文振做了总结发言,对本次研讨会的顺利举办表示祝贺,鼓励学校承办更多高质量学术会议,并充分肯定了此次研讨会的交流成果,对未来相关领域的研究进行了展望,为大家提供了方向,此次研讨会汇集了国内家庭建设和健康养老方面最新研究成果,为大家提供了学术交流平台,对新时代家庭建设和健康养老事业发展提供了重要的学术支撑","9,Nov",2019年山东社科论坛分论坛---家庭建设/健康养老研讨会在我校...
"社会与法学院教职工深入学习领会党的,十八届五中全会精神以及我校,十三五规划建议稿,月,日下午,社会与法学院召开全体教职工会议,传达学习党的十八届五中全会精神,并且认真学习了,山东女子学院,十三五,发展规划,结合我院工作实际情况贯彻落实工作,张莹书记主持会议并指导大家学习相关文件,尽管天气寒冷,社法学院教职工无一人请假,大家认真阅读领会和学习了,中国共产党十八届五中全会的报告,中国共产党纪律处分条例,和,中国共产党廉洁自律条例,通过学习,我们认识到党的十八届四中全会以来,以习近平同志为总书记的党中央面对错综复杂的国际环境和艰巨繁重的国内改革发展稳定任务,坚持全面深化改革,全面依法治国,全面从严治党,全面推进社会主义建设和党的建设,各方面工作取得了伟大成就,也认识到,十三五,期间我国面临的机遇和挑战,坚持创新发展,协调发展,绿色发展,开放发展,共享发展,是关系我国发展全局的一场深刻变革,结合合格本科创建工作,我们又学习了我校,十三五,中长期规划讨论稿,我校在,十三五,期间提出建设,百年女院,的宏大理想与中华民族实现伟大复兴的梦想相契合,我们为国家发展,学校发展的美好愿景感到骄傲与自豪,同时我们结合自己的工作讨论了,十三五,期间社会与法学院的发展规划,通过对规划稿的学习,提升了全院职工的凝聚力和自信心,大家纷纷表示要鼓足干劲,共创女院的美好未来","9,Nov",社会与法学院教职工深入学习领会党的十八届五中全会精神以及...
"近日,社会与法学院开展以,女院风采,伴我前行,为主题的征文比赛活动,本次活动旨在响应大学生校园文化生活的号召,抒发学生热爱大学生活的情感,征文比赛中,同学们围绕女院的景物,大学生活的趣事和自己的情感进行抒写,表达对女院的热爱之情,作品征集过程中,同学们热情高涨,积极投稿,参赛作品种类繁多,散文,诗歌层出不穷,参赛作品内容积极向上,紧扣主题,感情表达细腻,充分表现出同学们对学校的热爱,展现了当代大学生的青春风采,本次征文比赛本着,公正,公平,的原则进行评选,共评出一等奖,名,二等奖,名,三等奖,名,优秀奖,名,本次征文比赛活动,为同学们搭建了一个展现自我,提升自我的舞台,丰富了同学们的文化生活,提升了同学们的文化修养,也为学院营造了浓厚的文化氛围","9,Nov",社会与法学院举办“女院风采，伴我前行”征文比赛活动
"年,月,日,山东女子学院社工协会联合济南市基爱社会工作服务中心,济南槐荫积成社区社会服务中心,济南市恒悦社会工作服务中心于山东女子学院举办公众倡导志愿活动,此次活动主要有各服务中心代表人,社工协会成员以及部分志愿者参加,并得到了同学们的热烈响应,为引导同学们关注被忽视的劳动者群体,关注社会热点议题,特此举办,看不见的劳动价值,志愿活动,活动开始前各部门提前进行准备活动,并与服务中心负责人沟通协商,为活动顺利开展做准备,活动过程中,服务中心负责人对女院学生开展了,看不见的劳动价值,主题活动的论坛讨论,介绍了此次活动的目的及意义,希望同学们正确理解和对待每一种劳动,同学们也纷纷表示无论时代怎样改变,永远不变的是对劳动的崇尚,对劳动者的尊重,在博文楼前的,劳动者的一天,图片展中,吸引了许多同学的驻足观看,引发同学们对劳动价值的思考,同学们感慨道在此次活动中获益颇丰,活动在同学们的遐想和深思感悟中结束,此次活动的顺利开展,不仅引导同学们关注被忽视的劳动者群体,关注社会热点议题,而且增强了对社会的全面认知,同时同学们要将对劳动者的尊重付诸于行动中,以实际行动来表达我们对劳动者的感激及敬爱之情","9,May",社会工作专业联系机构举办“看不见的劳动价值”活动
"月,日下午,社会与法学院在普教楼,举办了创新创业与社会实践座谈会活动,三十余名学生代表参加了此次活动,为迎接学校评估工作,充分了解学生对社会实践和创业的想法和问题,社会与法学院特此举办本次座谈会,活动中同学们主要围绕,学生在创新创业能力方面存在的问题表现及原因,和,学生在参与社会实践活动能力方面存在的问题及原因,两大方向进行了自由探讨,座谈会上,来自不同专业,不同年级的学生代表们分别发表了自己对社会工作,知识产权专业的前景和就业方向的看法,并在如何创业方面给出了很多新鲜的观点,整场座谈会气氛融洽,在热烈的掌声中圆满落幕,此次活动的成功举办不仅为培养学生的创新意识,启迪创新思维,造就创业人才奠定了基础,同时,促进了学生就业创业教育,社会实践活动的蓬勃开展,也为学院今后的发展指明了方向","9,May",社会与法学院举办创新创业与社会实践座谈会
"月,日下午,社会与法学院在普教楼,教室召开评建工作学生动员大会,会议由社会与法学院团支部书记主持,全院各班班长和团支书参加本次大会,本次会议主要内容是对各班进行迎评促建的全面动员,提出全员参与,全力以赴的评建工作要求,会上强调了,年,评建工作对学校和学生自身的重要意义,要求社会与法学院每位学生积极迎评,求真务实,全员发动,坚决打赢迎评促建的攻坚战,并充分发挥师生团结协作的精神,将评建工作落到实处,同时为了让全体学生了解评估的精神,基本内容,基本做法及程序,要求在下发评估宣传手册学习后,开展全方位学习,并以主题班会活,动等形式对迎评有全面而详细的了解,此次动员大会增强了学生齐心迎评的决心,使学生以主人翁的姿态去参与学校的评建工作,有利于学生树立高度的集体荣誉感和责任感,积极为学校迎评工作做贡献,同时调动学生学习的主动性,营造积极向上的学习氛围,有利于校园的文化建设","9,May",社会与法学院召开评建工作学生动员大会
"月,日,由山东女子学院工会妇委会主办,社会与法学院与巾帼法馨援助中心联合承办的三八妇女节咨询活动在学校食堂西侧开展,本次活动受到学校领导的高度关注,活动现场除社会与法学院师生为前来咨询的同学答疑外,学院还邀请了长清区检察院开发区检察室,全国模范检察官孟红伟与巾帼法馨援助中心师生一同参与答疑,他们从法律援助,心理疏导,社工服务,就业咨询,情感倾诉等多个方面为学生答疑解难,活动前,工作人员通过发放大量的宣传资料,号召在校师生积极参与此次活动,为咨询活动的开展做好了充分的准备,活动期间,不少同学在现场认真填写着咨询单,或咨询法律问题,或咨询心理问题,所咨询的问题涵盖多个方面,体现着同学们的求知精神,现场的专业人士也热心回答同学们的问题,发挥出了自身的专业能力,此次活动还创新了活动形式,对于部分现场无法解答的问题,工作人员发放了专属二维码供咨询人员后期扫描查看解答,体现着学院较高的的服务水平和较强的责任感,此次三八妇女节咨询活动的开展,不仅在理论方面为学生提供了一个解决法律问题,倾诉内心情感的平台,同时也从实践方面体现出学院师生具有较强的运用专业知识的能力,为后期咨询工作的开展提供了保障","9,Mar",社会与法学院承办三八妇女节咨询活动
