content,times,title
"年,月,日,经济学院与广州中博教育股份有限公司,方向班合作签约仪式在新实训中心,顺利举行,这是双方在过去三年成功举办金融风险管理师,班的基础上,提升学生专业素养和岗位技能,更好地促进学生适应经济社会发展的深度合作,广州中博山东分公司副总经理刘瑶,营销总监刘文雅,市场经理王晓宇,长清区域营销总监王婕,学校招就处处长任晓剑,经济学院党总支书记齐振花,院长沈传河,副院长冯亮,金融工程教研室主任赵晓娟和金融学教研室主任温春然参加了签约仪式,在签约仪式上,任晓剑处长首先对此次签约仪式表示了热烈的欢迎,对经济学院,方向班开展的合作背景和未来作了总结性发言,特别指出,经济学院应利用此次契机在专业建设方面办出特色,在提高人才培养质量以及提高就业质量方面争取树立一面招牌旗帜,经济学院沈传河院长也对此给予了厚望,首先介绍了经济学院办学特色,总结了前期,方向班的办学经验,他指出,区别于传统教育,方向班不仅应注重提高学生,的理论知识,而且应从提升学生的求职技能,全面提升学生的综合竞争力方面下功夫,即美国注册管理会计师,是全球针对管理会计及财务管理领域的权威认证,也是美国三大黄金证书之一,被公认为国际财经领域的黄金标准,有国际财务界的,之称,是企业的,战略军师,是指依法取得注册会计师证书并接受委托从事审计和会计咨询,会计服务业务的执业人员,为中国官方认可的注册会计师资质,拥有审计报告签字权,是中国国内顶尖的财经证书,是进入会计师事务所工作的重要保障,据悉,方向班的学生们不仅能够学习到证书课程,还可以获得快速提升背景经历的渠道,提前探索职业兴趣的机会以及精准专业高效的实训实习计划,经济学院一直以提高人才培养质量为目标,狠抓内涵建设,在前期,方向班的办学中已经取得良好效果,此次,方向班成功签约将继续夯实前期硕果,为对经管领域感兴趣的学生提供一个宝贵的学习机会和优质的成长平台,同时为我院鲜明的应用型办学特色增加了浓墨重彩的一笔,赵晓娟",2021/6/14,经济学院与广州中博深化合作再签CMA&CPA方向班
"日前,在由山东省教育厅主办,山东师范大学承办的,年度山东省普通高等学校教师教学创新大赛,中,我院温春然老师获得了二等奖的好成绩,据悉,本次比赛为首次专门考察教师教学创新的教学大赛,经过,网络评审,及,现场决赛,最终在全省,余名参赛教师中共评出一等奖,项,二等奖,项,三等奖,项,近年来,经济学院十分重视教师教学能力培养与提升,先后制定了青年教师听评课制度,开展了,青年教师导航,计划,前期外派,名青年教师参加山东省及学校组织的教师教学能力提升研修班,较好地提高了教师教学能力与教学热情,下一步,学院将进一步关注青年教师的发展,通过开展青年教师说课大赛,教师教学教研能力研究班等一系列活动,提升教师教育教研能力",2021/5/27,我院温春然老师获山东省普通高等学校教师教学创新大赛二等奖
"年,月,日至,日,年全国高校商业精英挑战赛国际贸易竞赛全国总决赛在浙江省宁波市国际会展中心举办,这场比赛由中国国际贸易促进委员会商业行业委员会,中国国际商会商业行业商会,中国商业经济学会和中国会展经济研究会多个部门共同主办,经各参赛院校内部选拔和推荐,共有来自全国,个省,自治区和直辖市的,所高等院校,支参赛队,其中本科组,支,高职高专组,支,留学生组,支以及小语种组,支,超过,名参赛选手和辅导教师入围全国总决赛,经过激烈角逐,我校经济学院由赵蕾老师,田玉丽老师,孙海洋老师,王珺鑫老师,周红云老师组成的,国际贸易实务,教学团队荣获教师组比赛一等奖,由牛建国老师和周红云老师指导,由李鸿宇,张浩,牛宇昂,赵倩倩,张颖,张晓钰,王佳珍,名来自经济学院,外语学院和艺术学院同学组成的团队荣获全国总决赛一等奖,由张欣欣老师和孙海洋老师指导,由胡阵海,李光耀,贾敏,唐美榕,杨彤彤,施建荣,侯润珑,单安琪,名来自经济学院,外语学院和艺术学院同学组成的团队荣获全国总决赛三等奖,我校荣获最佳院校组织奖,我校两支学生参赛队伍依靠扎实的国际贸易业务能力和敏锐的市场洞察力,选择了济南广盛源生物科技有限公司的宠物产品和济南禾唐电子商务有限公司,我校唐美榕同学自主创业公司,的箱包产品参赛,教师团队选择国际经济与贸易专业核心课程,国际贸易实务,课程参赛,同学们在比赛中展现出来的创新思维,流利的英语沟通能力,扎实的商务基本功,优秀的综合素质及团队协作精神给评委,企业和商界人士留下了深刻的印象,获得了一致好评,省级一流本科课程,国际贸易实务,先进的教学理念,科学的课程内容体系,合理的教学方法赢得了现场评委的广泛认可,此项赛事的举办旨在推动建设开放型世界经济,支持经济全球化提供人才支撑,加快推动应用型,复合型和创新型国际经贸人才的培养,通过比赛,为专业教师提供了一个展示课程建设成果的平台,为学生们提供了一个提升能力,展示自我风采的机会,同时加强了与其他院校的交流,开阔了参赛师生的视野,积累了宝贵的赛事经验,展示了我校应用经济学在应用型,复合型和创新型国际经贸人才培养上所拥有的实力和取得的成果,供稿人,周红云",2021/5/12,经济学院在2021年全国高校商业精英挑战赛国际贸易竞赛中喜获佳绩
"为大力弘扬爱国主义精神,教育引导青年学生党史学习,月,日,经济学院在巾帼广场举行了,青春心向党,勇做追梦人,主题升旗仪式,经济学院党总支副书记赵晓琳,学生工作处刘艳君,辅导员杨辰兴以及,级学生代表参加了本次升旗仪式,活动伊始,参与升旗人员在巾帼广场上,精神饱满,队列整齐,排列成了,心,型字样,英姿飒爽的国旗护卫队护送国旗入场,伴随着激昂的国歌,鲜艳的五星红旗冉冉升起,同学们高亢嘹亮的国歌声响彻广场,唱出了对祖国深沉的爱,仪式上,辅导员杨老师对同学们进行了党史主题教育,带领同学们回顾了中国共产党从无到有,从小到大,从苦难走向辉煌的百年征程,并号召同学们坚定理想信念,树立远大志向,把个人发展融入到国家和人民的事业中,把个人抱负融入到中华民族伟大复兴的实践中,最后,大家深情地朗诵了,党,您是我今生难以割舍的情缘,深刻地表达出了百年征程中党的沧桑巨变,波澜壮阔以及党的初心历久弥坚,激励大家把自身的奋斗与党的发展紧密结合起来,始终坚持党的领导,实现中华民族的伟大复兴,本次升旗仪式进一步深化了青年学生的党史学习教育,增强了青年学生的爱国情怀和民族责任感,激励同学们积极承担时代大任,筑牢理想信念,强化责任担当,为谱写新时代中国特色社会主义新篇章贡献青春力量",2021/5/11,青春心向党，勇做追梦人 -----经济学院升旗仪式圆满完成
"月,日,经济学院院长沈传河,副院长冯亮,国际经济与贸易教研室主任孙海洋,专业教师张太乐一行到浙江师范大学经济与管理学院进行考察与调研,此次调研是为了学习和借鉴浙江师范大学,跨境电商人才培养体系数字化转型及虚拟实验仿真实验室建设等方面的成熟体制和宝贵经验,并重点参观学习了国家级虚拟仿真实验教学中心,浙江师范大学跨境电子商务虚拟仿真实验教学中心,浙江师范大学经济与管理学院院长助理邹益民教授热情接待了我院教师一行,并全程陪同讲解,邹益民教授对我院教师一行表示诚挚欢迎,详细地讲述了浙江师范大学电子商务专业课程建设历程和人才培养方案,包括师资培养体系,学科竞赛,国家级文科示范中心等建设情况,其后,邹益民教授详细介绍了跨境电商专业创立与发展,跨境电商平台实训,到综合实训,再到数据化运营,层次实践教学转型升级过程,从电子商务国家级一流本科专业,国家级虚拟仿真实验教学一流课程,跨境电商直邮监管虚拟仿真实验,跨境电子商务数据化运营教材系列,跨境数字化转型教学解决方案,到跨境电商综合实训平台,电商数据化运营实训实战平台,新商科大数据综合实训平台,跨境电商虚拟仿真,实训平台,跨境电商资源库与认证系统,跨境电商视觉营销平台等内容做了详细细致的讲解说明,一系列的介绍学习让我院在数字贸易领域的应用型人才培养体系数字化转型及虚拟实验仿真实验室建设等方面发展前景充满了信心,沈传河院长简要介绍了山东女子学院和经济学院历史沿革,发展现状,国际经济与贸易省级一流本科专业发展与改革情况,并表示在数字化,国贸专业建设之际,能来到浙江师范大学这样优秀的高校进行调研非常荣幸,浙师大数字贸易专业作为国家级一流专业的建设经验十分值得我们学习借鉴,之后,双方实地参观了国家级文科示范中心,体验了,虚拟仿真跨境电商实践平台主要流程,同时,双方就跨境电商人才培养,特色培育,课程体系优化,虚拟仿真平台建设及实践教学,社会服务等系列问题进行了深入而细致的探讨,并听取了浙师大领导对我院数字经济专业背景下国际贸易新业态与跨境电商人才培养和专业建设提出了很多宝贵意见,张太乐",2021/5/3,经济学院考察浙师国家级跨境电商虚拟仿真实验教学中心
"年,月,日至,日,经济学院院长沈传河,副院长冯亮,国际经济与贸易教研室主任孙海洋等一行到浙江杭州参加主题为,数字贸易时代跨境电商人才培养,年中国数字贸易人才培养高峰论坛,本次论坛旨在深度探讨数字贸易发展引发的全球数字贸易人才生态圈变革,为跨境电商产业输送高质量复合型专业人才,此次论坛由浙江大学中国数字贸易研究院等主办,邀请了浙江大学求是特聘教授,中国数字贸易研究院院长马述忠教授,全国电子商务职业教育教学指导委员会副主任,浙江商业职业技术学院校长张宝忠教授,中国,杭州,跨境电子商务综合试验区政策业务处处长葛一波等一众专家学者到会指导,论坛为共同研讨构建数字贸易人才培养新模式,推进数字贸易在更宽领域,更广范围的合作与交流,随着信息技术的快速发展,数字贸易正在逐渐成为国际贸易与国际商务的主流,数字贸易产业的发展需要综合性数字贸易人才来推动,数字贸易人才不仅是中国人才培养体系中的重要一环,更是推动中国数字经济发展的关键因素,借此时机,我院依托国际经济与贸易省级一流本科专业建设点,在我校培养应用型高层次专门人才的时代背景下,有针对性加强政企校三方互联互通,积极探索打造数字贸易人才生态圈,为社会输送数字贸易产业急需的高素质专门应用型人才,张太乐",2021/5/1,我院教师参加中国数字贸易人才培养高峰论坛
"为深入推进党史学习教育,普及党史知识,传承革命精神,月,日,山东女子学院经济学院举办了,我心中的巾帼英雄,党史故事分享会,由女大学生讲述女英雄事迹,经济学院党总支副书记,全体辅导员,学生党员代表以及,级全体学生参加了本次活动,分享会上,位女大学生以其铿锵有力的声音,充沛饱满的感情,围绕百年党史中的女英雄,从不同角度讲述了一个个感人至深,催人奋进的事迹,从第一个女共产党员,缪伯英,到战争年代的革命女烈士江竹筠,赵一曼,刘胡兰,辛锐,再到和平年代的医学专家冯理达,抗疫战士李兰娟,脱贫攻坚楷模黄文秀,首位女航天员刘洋,学生们声情并茂,慷慨激昂地讲述着这些女共产党员的英雄事迹,深深感染了在场的,每一个人,让台下观众仿佛走到了女英雄们的身边,为其事迹感动震撼,与其说这是一场巾帼英雄故事分享会,不如说这是一次心灵的旅程,更是同学们爱党爱国的精彩演绎,级投资学专业学生常明辉说,在这些巾帼英雄中,第一个共产党员缪伯英的事迹给我留下了深刻印象,她从教育救国,到无政府主义,再到马克思主义,为革命牺牲了家庭,年的人生岁月一直在追求光明的路,她那大无畏的爱国主义精神,值得我去学习,我一定会牢记使命,成长为敢于担当民族复兴大任的时代新人,级金融工程,金融大数据方向,专业学,生党员潘文静说,听了黄文秀同志的事迹后,我一定会以黄文秀同志为榜样,以身许党,对党忠诚,用英雄的精神不断激励自己,以英雄的事迹不断鼓舞自己,在祖国建设的跑道上进行一场永不休止的接力赛,弘扬巾帼风采,引领时代步伐,此次分享会以同学们喜爱的方式开展,增强了同学们对党史的了解,展现了杰出女性的高贵品质和远大理想,激励着全体学子以此为楷模,学铿锵玫瑰毅然绽放,谱时代精神不朽篇章",2021/4/23,铿锵玫瑰，巾帼风采 ——经济学院举办“我心中的巾帼英雄”党史故事分享会
"近日,山东省教育厅组织了,年山东省继续教育课程思政示范课程,教学研究示范中心评审遴选工作,经学校推荐申报,专家评审,我院沈传河院长牵头的,金融学,课程获批山东省普通本科教育课程思政示范课程,近年来,经济学院深入学习贯彻习近平总书记关于教育的重要讲话精神,落实高等学校立德树人根本任务,充分发挥课堂主阵地的育人功能,把思想政治工作贯彻教育教学全过程,先后立项山东省课程思政教学改革项目,项,校级课程思政示范课,门,获批校级课程思政优秀教学设计奖,项,下一步,学院将进一步加强课程思政建设,探索构建专业思政,课程思政融通人才培养体系,把思政教育贯穿人才培养全过程,山东省普通本科教育课程思政示范课程名单,序号,申报学校,课程名称,课程负责人,团队成员,山东女子学院,金融学,沈传河,冯亮,温春然,赵晓娟,徐喆,沈旭",2021/4/16,经济学院《金融学》课程获批山东省课程思政示范课
"为将党史理论学习转化为为群众办实事的实践服务,全面提升教师科研申报水平,在学院形成爱科研,热科研的浓厚氛围,同时让服务群众落到实处,不断提高学院教师科研水平和人才培养质量,年,月,日在实训楼,经济学院党总支开展了,红色导师,助力学院发展,我为群众办实事,活动,由院长沈传河为大家带来了国家社科申报的精彩分享,学院全体教师积极参加,会上,沈传河院长就国家社会科学基金申报书中的着重围绕,基金项目选题,申请书填写和基金评审过程,统筹资料的收集与整理等关键问题与老师们展开了交流与探讨,并希望以此次交流会为契机,不断拓展教师间交流的维度,让各位教师更深入,详细的了解申报书中的重点与难点,努力营造,爱科研,热科研,的科研氛围,学院全体师生不断深入学习贯彻习近平总书记在党史学习教育动员大会上的重要讲话精神,深刻认识党史学习教育的重大意义,学党史,悟思想,办实事,开新局,从党的百年伟大奋斗历程中汲取智慧力量,坚守人民立场,践行群众路线,学院将持续扎实开展好,红色导师,助力学院发展,我为群众办实事,活动,把党史学习教育成果转化为促进工作的动力,以优异成绩庆祝建党一百周年",2021/4/13,【红色导师】我院院长沈传河做国家社科申报经验分享会----经济学院党总支开展“我为群众办实事”活动
"月,日,经济学院院长沈传河与北城中学校长赵洪硕签署,优质生源基地,合作协议并授牌,经济学院副院长田玉丽,北城中学副校长武函,副校长侯曙光参加签约仪式,签约仪式上,沈院长详细介绍了学校办学定位,专业设置和人才培养情况经济学院的教学理念及人才培养目标,他指出,为满足社会对复合型人才的需求和学生的多元化教育诉求,学院牢牢把握互联网,大数据,智能分析与决策等,新经济,特征为时代气象的经济社会发展新趋势,培养经济学类应用型人才,通过通识教育完善学生的知识结构,拓宽学生视野,训练学生思维,通过金融,国贸两大类专业教育培养学生的市场意识,提升学生的核心专业技能以及适应岗位要求的能力,北城中学副校长武函对我校及其经济学院的学科布局和专业特色给予了充分肯定,认为我校真正做到了以学生发展为中心,实现了因材施教,他希望双方加强沟通,以优质生源基地建设为契机,充分挖掘各自的教育资源优势,共同探讨协同育人的新方式和新路径,实现信息互通,平台互用,资源共享,并为选拔,输送和共同培养优秀学生努力实践,这次我校优质生源基地合作协议的签订将为我校同高中阶段环节的融通创造良好环境,为高中学生学业规划及未来大学专业学习构筑充分交流的渠道,有助于提高我校未来大学生的培养质量",2021/4/12,经济学院赴曹县北城中学建立学校优质生源基地
