content,times,title
"月,日下午,音乐学院组织全体党员专题学习研讨,党的十八大以来的历史,本次学习邀请马克思主义学院李慧芬教授作题为,新时代的历史性成就和伟大变革,的专题辅导报告,报告从时代背景,历史性成就与伟大变革的具体表现,成就与变革下的启示三个方面系统梳理了党的十八大以来我国取得的历史性成就和发生的历史性变革,党的十八大以来,以习近平同志为核心的党中央举旗定向,谋篇布局,统筹推进,五位一体,总体布局,协调推进,四个全面,战略布局,解决了许多长期想解决而没有解决的难题,办成了许多过去想办而没有办成的大事,推动党和国家事业取得举世瞩目的伟大成就,这些成就的取得,最根本,最重要,最关键在于有习近平总书记掌舵领航,有以习近平同志为核心的党中央坚强领导,有习近平新时代中国特色社会主义思想科学指引,大家表示,要学习好党的十八大以来党的理论探索史,深刻感悟习近平新时代中国特色社会主义思想的真理力量,要学习好党的十八大以来党的不懈奋斗史,深刻感悟中国特色社会主义制度的显著优势,要学习好党的十八大以来党的自身建设史,深刻感悟中国共产党不愧为光荣,伟大,正确的党,全体党员将进一步增强,四个意识,坚定,四个自信,做到,两个维护,始终在政治立场,政治方向,政治原则,政治道路上同以习近平同志为核心的党中央保持高度一致,坚持立德树人根本任务,为党育人,为国育才,敢于迎难而上,突破攻坚,发挥好开路先锋,示范引领作用,不辱使命,不负重托,为学校和学院的发展积极贡献智慧和力量",[2021-06-10],音乐学院党总支专题学习研讨 “党的十八大以来的历史”
"为缅怀中国共产党,年来浴血奋战的光辉历史,追忆革命先烈的丰功伟绩,月,日下午,音乐学院党总支各党支部开展主题党日活动,组织观看红色影片,悬崖之上,各党支部师生党员参加观影活动,电影,悬崖之上,讲述上世纪三十年代,四位曾在苏联接受特训的共产党员组成任务小队,回国执行代号为,乌特拉,的秘密行动时置身于敌人布下的罗网之中,立于,悬崖之上,的行动小组面临着层层严峻考验,在这样恶劣的环境下,革命先辈们仍然能不屈不挠,坚守信念,以特有的方式传递信息执行任务,即使牺牲也将最后一颗子弹留给自己,他们坚定的革命信仰,义务反顾的斗争精神令在场的所有党员感动和敬佩,正因为有这些爱国志士将自己的生命立于悬崖之上,与敌人展开殊死搏斗,才为新中国迎来了黎明,铭记历史,是为了更好地勇毅前行,对革命历史最好的致敬,就是让红色精神薪火相传,我们要在缅怀中传承,在开拓中弘扬,继承和发扬革命先烈舍生忘死的精神和革命理想大于天的情怀,坚定马克思主义的信仰和实现中华民族伟大复兴中国梦的信心,为奋进新时代贡献自己的力量,为建党,周年献礼",[2021-06-10],音乐学院党总支组织观看红色影片《悬崖之上》
"月,日,学院成功举办音乐学,专业思政,育人成果汇报演出,演出以,青春颂百年,奋进新征程,为主题,全面展示了学院不忘立德树人初心,牢记为党育人为国育才使命,在,专业思政,建设方面取得的成绩,山东艺术学院副院长,全国人大代表,山东省音乐家协会主席刘晓静,山东演艺集团党委书记,董事长于剑,山东演艺集团副董事长,总经理解东,山东省音乐家协会常务副主席武洪昌,山东省舞蹈家协会副主席,济南市歌舞剧院歌舞团团长,国家一级演员秦巧,山东省音乐家协会副主席,山东歌舞剧院女高音歌唱家,国家一级演员刘金华,山东演艺集团艺术培训公司副总经理刘影,山东演艺集团战略发展部负责人王晓,音乐学院实习,就业,招生基地及红色基地的相关领导和老师,学校党委书记郭翠芬等校领导和相关部门负责人及师生代表现场观看演出,演出在新打击乐,校园节拍,舞蹈表演综合展示,中拉开帷幕,同学们用欢快的节奏鼓点,灵巧的动作,扎实的基本功展现出青年人的朝气蓬勃,昂扬向上的姿态,快板,梦想腾飞在女院,以传统艺术形式呈现了女院莘莘学子的梦想,情景表演唱,新绣荷包,男生表演唱,运河号子,男声独唱,爱永在,古筝合奏,浏阳河,古典群舞,醉春风,维族群舞,晨曦中的玫瑰,通过独具地方色彩,浓郁的民族气息的歌舞展现生动展示祖国大好河山及各民族人民爱党,爱国之情,当代舞,最后的名单,原创民族民间舞,根语,当代舞,八女投江,用舞蹈表达了对英雄的缅怀和敬意,十三个节目既主题统一又兼具特色,充分展示了女院学子昂扬向上的精神风貌,近年来,学院在学校党委,行政的坚强领导下,不忘初心,牢记使命,积极探索新时代教育教学方法,以专业思政,课程思政为引领,不断提升教师教书育人能力,以,宽基础,重技能,讲应用,塑综合,为指导,以构建全面覆盖,类型丰富,层次递进,相互支撑的专业思政育人体系为目标,通过教学与实践相结合,专业与思政相结合,科研与艺术相结合,构建,一线,二体,五维,音乐学,专业思政,育人体系,打造从课内教学,课外艺术实践到艺术作品创作三位一体的思政育人模式",[2021-06-05],“青春颂百年，奋进新征程”学院举办音乐学“专业思政”育人成果汇报演出
"为庆祝中国共产党成立,周年,进一步加强爱党爱国爱社会主义教育,月,日,音乐学院举行,怀爱国之心,壮华夏山河,主题升旗仪式,学生处副处长赵贵阳,音乐学院党总支书记刘凤华,级全体同学参加升旗仪式,升旗仪式开始,英姿飒爽的国旗护卫队迈着坚定有力的步伐走来,鲜艳的五星红旗伴随着雄壮高豪迈的,义勇军进行曲,冉冉升起,全体同学肃然起敬,向国旗行注目礼,迎风飘扬的五星红旗激发了同学们不断向上的斗志,点燃了同学们强烈的爱国热情,行礼完毕,音乐学院学生代表李舒,李忠强,在国旗下朗诵,永远的太阳,传颂党的光辉历程,讴歌党的丰功伟绩,展现一代又一代共产党人不忘初心,牢记使命的执着坚守与努力追求,对全体同学进行了深刻的爱国主义教育和革命传统教育,将党史学习教育落地生根,音乐学院,级学子在国旗下演唱爱国歌曲,不忘初心,悠扬的歌声从巾帼广场传出,我们广大青年学子将不忘初心,永远跟党走,坚定树立与这个时代主题同心同向的理想信念,勇于担当这个时代赋予的历史责任,此次升国旗仪式,融入党史学习教育,回顾了党的光辉历程,讴歌党的丰功伟绩,激励广大青年继承和发扬党的光荣传统,树立远大理想,凝聚奋斗之力,担负起国家建设和民族发展的重任,争做走在时代前列的奋进者,搏击者,奉献者,以实际行动迎接建党,周年",[2021-05-31],学院举行“怀爱国之心，壮华夏山河”主题升旗仪式
"为庆祝,年国家文化遗产日,月,日下午山东省艺术研究院,山东女子学院团委,山东女子学院大学生艺术团在山东女子学院共同举办了非遗进校园活动,本次活动邀请戏曲文化传播者金谷老师为大家讲座戏道,昆曲,音乐学院院长宋小霞,党总支书记刘凤华,副院长马淑卿,山东艺术研究院专家及音乐学院部分师生参加了此次活动,活动开始,音乐学院院长宋小霞代表我校接受了山东艺术研究院和金谷老师的赠书,讲座中,金谷老师从呼吸,咬字等方面,详细讲解了戏曲中发声和练习方法,并与我院同学即兴合作歌曲,送别,随后金老师和搭档共同演绎,牡丹亭,经典片段,抑扬顿挫的曲调,婀娜多姿的身段,使得在场的每一个人都沉浸其中,金老师独到的讲解和精湛的表演,深深吸引并打动着每一位老师和同学,引发了强烈的共鸣,讲座最后,金谷老师为大家送上了美好祝愿,希望在场的每位同学都可以成为优秀的艺术工作者,同学们也纷纷表示会像金老师一样,为我国非遗文化的传承和发展贡献力量,山东女子学院大学生艺术团始终以提高全校学生的艺术修养为宗旨,在丰富,繁荣,发展女院校园文化的同时,推进美育教育走上新台阶,此次非遗进校园活动,极大丰富和活跃了我校校园文化氛围,对我校的文化发展起到积极推动作用",[2021-05-28],学院举办2021年庆祝国家文化遗产日??非遗进校园活动
"根据学校党史学习教育工作安排,月,日下午,学校党委委员,组织部部长富元斋在博雅楼,会议室为音乐学院全体师生党员讲授了党史学习教育专题党课,党课由音乐学院党总支书记刘凤华主持,富元斋以,百年辉煌,我心向党,为题,从党史学习意义,百年艰辛与辉煌,党史学习心得三个方面入手,讲述了在中国共产党百年华诞这个重要节点,回顾和重温我们党领导人民进行革命的光辉历史,汲取其中蕴含的宝贵经验和精神智慧,对于我们走好新时代长征路,夺取全面建设社会主义现代化国家新胜利具有十分重要的现实意义,系统梳理了党的百年艰辛与辉煌,从争取民族独立,人民解放的探索,到中国共产党的创立,从党的一大到党的十九大的重要内容,要求全体党员从党史学习中读懂忠诚,坚定自信,学会担当,在学习中从前辈先烈事迹中补足精神之钙,保持政治定力,自觉用习近平新时代中国特色社会主义思想武装头脑,不断增强,四个意识,坚定,四个自信,做到,两个维护,自觉做到知史爱党,知史爱国,大力弘扬艰苦卓绝,坚韧不拔的奋斗精神,不断增强守初心,担使命的思想自觉和行动自觉,大家表示,这节党史学习教育专题党课让我们重温了党领导人民从站起来,富起来到强起来的伟大历史,进一步深化了对中国共产党为什么能,马克思主义为什么行,中国特色社会主义为什么好的认识,使我们党员更加坚定理想信念,不忘初心,牢记使命,担当作为,在全面建设社会主义现代化国家,实现中华民族伟大复兴中国梦的新长征路上不断前进",[2021-05-28],学校党委委员、组织部部长富元斋讲授党史学习教育专题党课
"月,日上午,学院,名师生参加了济南市长清区,山东天淼,山东炎黄,第八届五峰山大樱桃节开幕式文艺演出活动,在五峰山街道峰山广场拉开帷幕,学院共编排,个作品参加了本次活动,由于佳,秦利伟,孔琳三位老师带队参加,活动现场,不仅举行了大樱桃标准示范园颁牌仪式及项目签约,还为观众送来了一场精彩绝伦的视觉盛宴,本次樱桃采摘节,学院发挥专业优势,秉承着振兴乡村文旅,协助服务地方经济,为提高长清特色产业知名度,推动五峰乡村振兴新发展尽一份微薄之力,同时,积极服务地方工作也是学院一直以来的初心,借此契机,为樱桃节开幕仪式留下了浓墨重彩的一笔",[2021-05-19],学院师生参加“第八届五峰山大樱桃节开幕式”   文艺演出活动
"月,日,晚,牟伟娜,师生钢琴音乐会在,博雅楼音乐厅,如期举办,山东,艺术学院,山东女子学院音乐学院,相关领导,老师及学生们观看了这场钢琴音乐会,此次音乐会共有十首钢琴曲,从多种角度充分展现了钢琴音乐的特点,音乐会在,肖邦练习曲,的中拉开了帷幕,学生演奏的李斯特音乐会练习曲,森林的呼啸,肖邦,小调第一叙事,曲,李斯特音乐会练习曲,叹息,等曲目,带领大家感受了浪漫主义时期对音响,音色的追求和讲求音响的丰满,和谐,舒适,中国作品,皮黄,更是将中国的国粹京剧,用钢琴这一西洋乐器完美的呈现出来,最后,牟伟娜,老师,杨东旭老师与两位学生一起带来的双钢琴,演奏,小调双钢琴奏鸣曲,以娴熟的演奏技巧和出众的表现手法让台下观众叹为观止,赢得了台下听众阵阵掌声,此次,音乐会的成功举办不仅展现了钢琴专业学生的风采,对专业老师教学成果的,进行了,汇报,而且也是为山东艺术学院与山东女子学院提供了一个相互交流的,平台,也是一个加深了解,增进友谊的平台,相信未来两个学院一定能够携手并肩,与时俱进,推动两院工作迈上新台阶,再创新的辉煌",[2021-05-18],学院和山东艺术学院共同举办牟伟娜师生钢琴音乐会
"为贯彻落实共青团山东省委,校团委关于,青鸟计划,工作的部署安排,更好地服务梁山籍的大学生,切实推进,青鸟计划,梁雁归巢,深入开展,实现,引凤还巢,就业工作大局,年,月,日下午音乐学院团总支在博雅楼,举办,青鸟计划,梁雁归巢,交流推介会,山东女子学院团委书记苏婧,音乐学院党总支书记刘凤华,梁山团县委副书记杜晗,梁山团县委金融挂职副书记李尚宾和部分青鸟驿站梁山站的同学参加交流推介会,会议由音乐学院辅导员李梅华主持,会议首先由李梅华老师介绍我院,青鸟计划,梁雁归巢,大学生社会实践基地工作的开展情况及未来工作展望,随后梁山县团县委副书记杜晗对梁山县基本情况,青鸟计划,梁雁归巢,活动进行了详细介绍,梁山团县委挂职副书记李尚宾讲解了金融系统在,年暑假中金融系统志愿者岗位招募的情况,音乐学院党总支书记刘凤华表示此次活动的开展得到校团委和梁山团县委的大力支持,学院将着力打造,青鸟驿站,梁雁归巢,大学生社会实践基地的建设,组织同学们在暑假期间多多参与社会实践活动,使大家进一步了解社会,参与社会,为家乡建设多做贡献,我院将与梁山团县委共同打造大学生社会实践亮点品牌项目,山东女子学院团委书记苏婧对梁山团县委同志的到来表示感谢,下一步学校团委充分利用青鸟计划这根红线,协调学校,联系家乡,组织学生三点共同发力把好,招才引智,工作大局,学校共青团将会对,青鸟计划,梁雁归巢,活动大力支持,认真细致做好该项工作,最后,梁山团县委杜晗书记和李尚宾书记为我院青鸟驿站站长聂利亚,副站长宋婷婷颁发聘书,今后,音乐学院团总支将以,青鸟计划,梁雁归巢,大学生社会实践基地为依托,利用音乐学院专业特色不断开拓实践基地建设的合作领域和内容,使更多的学生在家乡基层实践中提升自己,以青春之力报桑梓之情,投身家乡建设,为家乡的广袤土地奉献青春力量,在实现中国梦的生动实践中放飞青春梦想",[2021-05-15],学院团总支 举办“青鸟计划·梁雁归巢”交流推介会
"为庆祝中国共产党成立,周年,纪念,五四运动,周年,我院团总支在,五四,青年节来临之际开展,重温红色党史,重走长征路,学党史主题团日活动,各团支部青年团员分别到莱芜战役纪念馆,刘邓大军渡黄河纪念馆,泰山毛公山红色文化博物馆,鲁西南战役纪念馆等家乡所在的红色革命基地开展学党史,弘扬五四精神宣誓活动,高举五四火炬,弘扬五四精神,争做时代先锋,奉献火热青春,嘹亮的宣誓声表达了青年团员们将牢记习近平总书记对青年人的嘱托,在新时代发扬伟大五四精神,以实现中华民族伟大复兴为己任,不辜负党的期望,人民期待,民族重托,不辜负我们这个伟大时代,本次主题团日活动的开展,使青年团员们从党史学习中激发信仰,获得启发,汲取力量,进一步厚植爱党,爱国,爱社会主义的情感,坚定听党话,跟党走的信念,音乐学院团总支将坚持发扬,党有号召,团有行动,的优良传统,团结带领广大青年团员在实现,两个一百年,奋斗目标,实现中华民族伟大复兴中国梦的宏伟征程中,勇挑重担,砥砺奋斗,用,中国梦,激扬,青春梦,以坚定的理想信念续写青春华章",[2021-05-06],音乐学院开展五四青年节暨“重温红色党史，重走长征路”学党史主题团日活动
