content,times,title
"月,日下午,副校长贺兴利以,中国共产党为实现中国现代化的百年奋斗历程,为题在博学楼,为外国语学院学生上思政课,贺校长从历史的角度,现实的维度,通过生动的故事,翔实的史料,最新的时政材料,深刻阐释了,中国共产党为什么,能,马克思主义为什么,行,社会主义为什么,好,对于大学生坚定四个自信,勇于担当民族复兴大任,都具有重要的启发意义,校领导上思政课,既是落实立德树人根本任务的重要举措,也体现了以习近平为核心的党中央对思政课程的高度重视,必将对推动思政课教学改革,促进思政课成为大学生真心喜爱,终身受益的课程有重要推动作用,供稿,郭太铭",2021/6/3,校领导讲思政课:学校副校长贺兴利深入课堂为师生讲授思想政治理论课
"为深入贯彻落实全国高校思政工作会议精神,按照上级文件要求,强化学校党委对思政课建设的领导,切实上好思想政治理论课,我校领导班子成员充分发挥模范带头作用,以高度的责任感和饱满的政治热情走进形势与政策课堂讲授思政课,盛国军率先走上讲台,专题讲解,中国共产党为实现中国现代化的百年奋斗历程,分别于,月,日,日在博文楼,博学楼,为电子商务,养老服务与管理专业学生讲授思政课,学校督导处负责人,马克思主义学院负责人及部分教师参加了听课,盛国军的讲授深入浅出,旁征博引,引人入胜,从历史,逻辑的维度诠释了中国从传统到现代转型过程中中国共产党不屈不挠的百年艰辛探索,在从站起来,富起来,强起来的过程中带领中国人民克服困难,纠正错误,不断走向强大的历程,充分证明了中国共产党为什么,能,马克思主义为什么,行,中国特色社会主义为什么,好,盛国军鼓励同学们,认真学习并掌握马克思主义的基本立场,观点,听党话跟党走,在实现中华民族伟大复兴的生动实践中放飞自己的青春梦想,按照安排,学校领导班子成员将陆续讲授思政课,他们将深入思政课堂,用自身的经历感染学生,用丰富的教学案例引导学生,用亲切的话语关爱,鼓励学生,用习近平新时代中国特色社会主义思想铸魂育人,推动党的创新理论入脑入心,提升思政课教学效果,为思政课教师树立榜样,更好地落实,立德树人,根本任务,进一步巩固马克思主义在高校的指导地位,供稿人,石荣菊,审核人,王丽芹",2021/6/3,校领导讲思政课:学校校长盛国军深入课堂为师生讲授思想政治理论课
"为深入贯彻落实习近平总书记关于深化思想政治理论课改革创新重要指示精神和,大思政课,的教育,理念,根据教育部的通知要求,马克思主义学院高度重视,积极响应,月,日下午全体思政课教师观看了,同上党史思政大课,的同步直播,这次讲座讲述了从第一次世界大战到马克思主义的传播再到党的事业复兴的艰苦历程,鉴往事,知来者,重温党史,永守初心,中华民族才能,披荆斩棘砥砺前行,观看结束后,教师们纷纷表示,通过这堂大课更加深刻地了解了中国共产党光辉的历史,崇文路老一辈共产党人浴血奋战的历程,百年征程波澜壮阔,百年初心历久弥坚,党的奋斗史中涌现出无数革命先烈,英雄模范和时代先锋,面临各种困难挑战,他们牢记宗旨,矢志不渝,牺牲奉献,是我们学习的榜样,今后老师们将在课堂中弘扬和传承党的先进经验和优良传统,通过党史学习教育激发学生坚定跟党走的信仰,信念和信心,在第,周的思政课课堂上,教师们带领学生开展学习讨论,组织形式灵活多样,有小组发言和自由发言,有设置问题的互动交流,有再次观看视频片段的集中解读等等,引领大学生在以党史教育为重点的,四史,教育中真正做到,学史明理,学史增信,学史崇德,学史力行,全校共有,个思政课上课班级,近万名学生参与,从课堂反应情况看,同学们在学习讨论中收获颇丰,在重温党的历史中增强了爱国爱党的情感,下一步,我院将继续组织观看后续三堂课,将其作为党史学习教育的重要内容,积极引导广大学生坚定对马克思主义的信仰,对中国特色社会主义的信念,对中华民族伟大复兴中国梦的信心,以昂扬姿态迎接建党,周年,为实现社会主义现代化国家努力奋斗",2021/5/13,马克思主义学院组织师生参加“同上‘四史’思政大课”活动
"月,日上午,学院副院长石荣菊为长清中等职专全体党员干部和教师作了一场改革开放和社会主义现代化建设新时期的党史报告,报告深入翔实地回顾了十一届三中全会把党和国家的工作中心转移到经济建设上来,完成了思想路线,政治路线和组织路线的拨乱反正,作出了实行改革开放的伟大决策的过程,梳理了十一届三中全会以来党中央带领人民走过的波澜壮阔的改革开放历程和对中国特色的社会主义现代化建设道路的艰辛探索,以及这个过程中取得的举世瞩目的历史性成就,充分证明了改革开放是决定当代中国命运的关键抉择,是发展中国特色社会主义,实现中华民族伟大复兴的必经之路,只有社会主义才能救中国,只有改革开放才能发展中国,充分回答了,中国共产党为什么能,中国特色社会主义为什么好,的问题,本次党史教育活动中,学院教师在自己学懂弄通基础上,不断拓展社会服务的领域和范围,利用自己先学一步的优势,服务于当地的党建活动,为长清的发展贡献自己的力量,今后学院将继续鼓励教师走出课堂,服务社会,做党的理论的传播者,继承者,实践者",2021/4/16,我院教师到长清职业中等专业学校做党史学习教育报告
"月,日下午,马克思主义学院院长,副院长及教研室主任一行,人到济南市长清职业中等专业学校就中学思想政治理论课开课情况进行调研,与长清职业中等专业学校负责人,高中部负责人以及思政课教师等进行了座谈交流,双方负责人分别介绍了学校的思政课师资力量,课程开展及课程标准情况,并一起听取了该校高中部王桂莲老师的一堂思政课,课后与该校思政课老师进行了交流研讨,通过调研,大家充分的了解了高中,中职思政课开课情况及讲授标准,要求,同时对该校思政课教学效果给予了高度评价,双方就进一步开展思政课大中小一体化和开发使用思政课教学资源等问题作了交流,并就基地建设等方面达成了初步意向",2021/4/14,马克思主义学院到长清职业中等专业学校调研
"月,日上午,根据党史学习教育工作安排,党委书记郭翠芬到马克思主义学院调研,与教师代表座谈交流,听取对学校党委和马克思主义学院党总支的意见建议,并做了详细记录,郭翠芬勉励学院教师要以党史学习教育为契机,充分认识开展党史学习教育的重大意义,提高思想认识和政治站位,做到先学一步学深一步,将教研与科研并重,抓住思政课改革的机遇,将,立德树人,的理念落实到课堂,通过阅读经典不断增加课堂的,厚度,要创新人才引进工作思路,对新转岗和新入职的思政课教师加强培训,不断提升理论水平,要坚持,引进来,和,走出去,并重的工作思路,积极邀请名师进学院授课讲学,定期组织教师外出学习交流,开阔教师视野,本次调研共征求到人才引进培育,职称评审等方面的意见建议,条,郭翠芬立即安排有关部门分工落实,学院也将立即拿出可行性方案配合落实,以实际行动贯彻落实习近平总书记在党史学习教育动员大会上的重要讲话精神和学校党史学习教育动员大会会议要求,供稿人,生阳阳,审核人,姚树欣",2021/4/12,党委书记郭翠芬到马克思主义学院调研指导工作
"年,月,日下午,马克思主义学院党总支组织参观了大众日报报史馆,大众日报,年创刊,为中共山东分局机关报,年,月,大众日报,遂改为山东省委机关报至今,大众日报,不断践行,党的立场,群众的报纸,办报宗旨,是一份有着光荣传统,广泛影响的党报,马克思主义学院和体育部教师参加了这次活动,大众日报报史馆,墙壁上的巨幅图片展示了大众日报创刊,多年来受到中央领导的关怀,整个报史馆共分四个部分,在,光辉历程,中,参观了大众日报创刊地及印刷厂,珍藏在展柜中的大众日报创刊号报纸吸引了大家的目光,在报史馆墙壁上,一幅幅彩色巨画讲述着大众日报在战火硝烟中成长的艰难历程,国难岁月,大众报人迎着战争的硝烟,坚守阵地,先后有,多名工作人员献出生命,这在中国乃至世界报业史上都是极为罕见的,激扬文字,展示部分的一张张彩色图展,让大家看到了大众日报在不同时期对内容创新孜孜不见的追求,大众日报蕴含的红色基因,彰显她是民族独立人民解放的引领者,参与者,是波澜壮阔的抗日战争和解放战争的忠实记录者,也是沂蒙精神,山东党史,山东新民主主义发展史,大家表示,学史增信,就要学习发扬报业人的光荣传统和优良作风,坚定信仰信念,增强历史自觉,树牢,四个意识,坚定,四个自信,在学史明理中,坚持在中国共产党的领导下,坚持社会主义发展道路,为学习习近平新时代中国特色社会主义思想,提高理论水平和理论素养提供了人文历史素材,在学史崇德中,通过学习党媒的话语权,坚决做到,两个维护,的政治自觉和行动自觉,自觉践行社会主义核心价值观,在学史力行中,守好课堂阵地,讲好思政课,守好一段渠,种好责任田",2021/3/22,马克思主义学院党总支参观大众日报报史馆
"根据省委关于巡视工作的统一部署,近日,省委第九巡视组巡视山东女子学院党委工作动员会召开,会前,省委第九巡视组组长张宝泉主持召开与山东女子学院党委书记郭翠芬见面沟通会,传达了刘家义同志关于巡视工作的讲话精神,通报了有关工作安排,会上,张宝泉作了动员讲话,对做好巡视工作提出要求,郭翠芬主持会议并讲话,省委第九巡视组副组长及有关同志,山东女子学院领导班子成员出席会议,山东女子学院有关部门和单位主要负责同志列席会议,张宝泉强调,高校担负着,培养社会主义建设者和接班人,根本任务,关系党的事业后继有人,关系国家前途和命运,对省属高校党委开展巡视,充分体现了省委对高校工作的高度重视,是加强党的政治建设,督促做到,两个维护,全面贯彻党的教育方针,落实立德树人根本任务,深化高等教育综合改革,促进高校治理体系和治理能力现代化建设,把严的主基调长期坚持下去,推进全面从严治党向纵深发展的重要举措,山东女子学院党委要提高政治站位,从,两个大局,高度,增强,四个意识,坚定,四个自信,做到,两个维护,深刻认识巡视工作的重要意义,自觉接受监督,积极支持配合省委巡视组工作,坚决完成好省委交给的巡视任务,张宝泉指出,巡视是党章赋予的重要职责,是加强党内监督的战略性制度安排,是党委履行全面监督职责的直接抓手,省委巡视组将坚持以习近平新时代中国特色社会主义思想为指导,深入贯彻落实党的十九大和十九届二中,三中,四中,五中全会精神,坚持围绕中心,服务大局,全面贯彻巡视工作方针,精准落实政治巡视要求,聚焦,两个维护,根本任务,紧盯高校党委职能责任,紧盯全面从严治党阶段性主要矛盾,紧盯领导班子和关键少数,紧盯人民群众反映强烈的突出问题,深入了解落实党的路线方针政策以及党中央重大决策部署和省委工作要求情况,特别是贯彻落实习近平总书记关于教育的重要论述,党中央关于加强党的政治建设,贯彻党委领导下的校长负责制,坚持社会主义办学方向,落实立德树人根本任务等决策部署情况,以及防范和化解重大风险,服务经济社会发展情况,了解落实全面从严治党战略部署情况,加强对主体责任和监督责任落实,权力运行和监督制约情况的监督,了解落实新时代党的组织路线情况,加强对领导班子自身建设,选人用人,基层党建情况的监督,了解落实巡视,审计等监督发现问题和,不忘初心,牢记使命,主题教育检视问题整改情况,发挥监督保障执行,促进完善发展作用,推动省属高校党委增强,四个意识,坚定,四个自信,做到,两个维护,不断提高政治判断力,政治领悟力,政治执行力,加快推进高水平大学建设,以优异成绩庆祝建党,周年,郭翠芬表示,学校党员干部要把思想和行动统一到省委关于巡视工作的部署要求上来,切实增强接受巡视监督,支持巡视工作的自觉性,坚决服从巡视组的工作要求和安排,要提高政治站位,以高度的政治自觉主动接受巡视监督,对巡视发现的问题主动认领,诚恳接受,立行立改,各级党员干部和教职工要本着对党,对组织,对事业,对同志高度负责的态度,实事求是汇报工作,反映情况,客观,真实,准确地说明问题,相关部门要精心组织,周密安排,全力做好巡视保障工作,学校党委领导班子要以巡视为契机,进一步增强党要管党,从严治党的思想自觉,政治自觉和行动自觉,进一步理清发展思路,明确发展定位,努力推动学校各项事业再上新台阶,省委巡视组在山东女子学院工作时间为,年,月,日至,年,月,日,受理信访时间截止到,年,月,日,为便于干部群众反映情况,巡视组建立了多种联系方式,联系电话,接听电话时间为,工作日,寄信地址,济南市,号邮政信箱,网上邮箱,登录山东省纪委监委网站,在,巡视巡察,专题中点击,巡视组信箱,按照提示内容输入即可,还设置了,个巡视组信箱,分别位于长清校区办公楼一楼西侧,图书馆,座入口南侧,食堂东门入口南侧,家属院,号楼,单元入口西侧,玉函校区老年活动之家入口南侧,根据巡视工作条例规定,省委巡视组主要受理反映山东女子学院党委领导班子及其成员,下一级党组织主要负责人的问题以及与巡视工作有关的来信来电来访,重点是关于违反政治纪律,组织纪律,廉洁纪律,群众纪律,工作纪律和生活纪律等方面的举报和反映,其他不属于巡视受理范围的信访问题,将按规定由山东女子学院和有关部门认真处理",2021/3/4,省委第九巡视组巡视山东女子学院党委工作动员会召开
"年,月,日,学校有幸邀请到山东大学马克思主义学院副院长郑敬斌教授来校讲座,此次讲座由科研处主办,马克思主义学院承办,于,开始,在圆创空间进行,讲座由马克思主义学院院长姚树欣教授主持,马克思主义学院相关负责人和全体教职工参加,另有来自学校其他院系的教师参与,郑教授以,青年价值观变迁与思想政治教育创新,为题,以思想政治教育创新的时代要求为切入点,简介了我国青年价值观变迁的历程,提出引导新时代青年树立科学的价值观的几点创新路径,之后,学院教师与郑教授就思政课教师如何做好科研进行了探讨,郑教授从,何为科研,为何科研,科研何为,三个方面,结合自己丰富的科研经历与实战经验,提出了自己深入的思考,他指出,为响应新时代要求,思政课教师应苦练内功,舍得花时间,时刻关注学术前沿,他从,如何读书,如何选题,如何写作,如何申报课题,如何学术交流,五个方面与老师们着重进行了交流探讨,最后,姚树欣对讲座做了总结,他将郑教授的精彩讲座概括为,三心,即有心,精心,尽心,认为郑教授对学术前沿的深入把握做到了,有心,对于课题申报的深入探讨做到了,精心,对于教学与科研的孜孜探索做到了,尽心,郑教授说理透彻,妙语连珠,幽默风趣,不时赢得老师们的深刻认同,为大家奉上了一场内容丰富的学术盛宴,此次讲座引发了老师们的深刻思考,并进一步坚定了老师们要做好青年学生成长路上的引导者的决心,增强做好科研取得良好成果的信心,供稿,崔雪莲",2021/1/4,学校邀请山东大学郑敬斌教授来校进行学术讲座
"为深入学习贯彻党的十九届五中全会精神,近日,我校马克思主义学社面向全校师生举办,了,以,学习新思想,争做新青年,为主题的宣讲活动,此次活动,受,到了同学们的积极响应,余名同学参加活动,本次活动是马克思主义学社年度换届后的第一次活动,新任社长葛舒娴主持活动,她带领社员们观看了抗疫视频,一起重温我国全民抗疫的难忘故事和感人瞬间,大家激动不已,纷纷发言交流,随后,副社长带领大家学习了十九届五中全会的会议精神,读原文,悟原理,与会社员逐一谈了观点和看法,交流思想,碰撞火花,升华精神,最后,大家一致希望,学社今后多组织此类的主题活动,不断创新形式,让学社成为有理论深度,有人文关怀的社团,此次活动,是马克思主义,学社,学习和宣传十九届五中全会精神系列活动的开端,今后,学社将定期开展集中宣讲,经典诵读,读书分享等多种形式的活动,更加生动的学习和贯彻习近平新时代中国特色社会主义思想,用新时代的美好蓝图激励,广大,同学更加有方向,有信心,有力量地阔步向前,陈燕华,葛舒娴",2021/1/3,马克思主义学社举办“学习新思想，争做新青年”主题活动
